lag,dec,measure,spec,term,N,treated_obs,tol,coef,se,p
0,target,n_policies,with,DDD_dev,19542630,8726,1e-06,0.10053533798017832,0.04813601310955369,0.036746625724731974
0,target,n_policies,with,DDD_adv,19542630,8726,1e-06,-0.003376634440373307,0.04165313034303172,0.9353898126788622
0,target,n_policies,with,IPxUS_dev,19542630,8726,1e-06,-0.05226294243056335,0.04981574167243284,0.29412056868847847
0,target,n_policies,with,IPxUS_adv,19542630,8726,1e-06,0.08053110787755466,0.04519095533969199,0.07474625306365223
0,target,n_policies,with,IPxUS_chn,19542630,8726,1e-06,-0.0067872337184631554,0.005225488205093238,0.19398829359146674
0,target,n_policies,with,Dec_US_chn,19542630,8726,1e-06,-0.3477268544421321,0.09334107857712204,0.00019505544787068452
0,target,n_policies,with,Adv_Dec_US,19542630,8726,1e-06,-0.11072555251590893,0.07132890567242983,0.12058478401510508
0,target,n_policies,without,DDD_dev,19542630,8726,1e-06,0.057316033000723174,0.030330025126878647,0.05879198579017175
0,target,n_policies,without,DDD_adv,19542630,8726,1e-06,0.06719759000845757,0.03287262831361465,0.040935706155547535
0,target,n_policies,without,IPxUS_chn,19542630,8726,1e-06,-0.007174458321997594,0.005293414475275071,0.17530432637142934
0,target,n_policies,without,Dec_US_chn,19542630,8726,1e-06,-0.35824517266657147,0.09374568753808013,0.00013266521077803795
0,target,n_policies,without,Adv_Dec_US,19542630,8726,1e-06,-0.1520043256393694,0.07256814804024388,0.03620278591044146
0,target,share_n_policies,with,DDD_dev,19542630,8726,1e-06,0.08257286512097677,0.02311844729425915,0.0003546301320556111
0,target,share_n_policies,with,DDD_adv,19542630,8726,1e-06,0.009082822257841967,0.01634123559383594,0.5783323767191777
0,target,share_n_policies,with,IPxUS_dev,19542630,8726,1e-06,-0.047944267180118974,0.02010561526012568,0.017096736605317187
0,target,share_n_policies,with,IPxUS_adv,19542630,8726,1e-06,0.006992534377382726,0.0158760219521233,0.659613931686927
0,target,share_n_policies,with,IPxUS_chn,19542630,8726,1e-06,-0.032493896995358186,0.024509739225380037,0.18492102966834212
0,target,share_n_policies,with,Dec_US_chn,19542630,8726,1e-06,-0.32925182633382577,0.09085701116592139,0.0002902543463842999
0,target,share_n_policies,with,Adv_Dec_US,19542630,8726,1e-06,-0.09121653003719202,0.05857767041876115,0.11942551383109534
0,target,share_n_policies,without,DDD_dev,19542630,8726,1e-06,0.035719713472686765,0.01678390326608993,0.03331946523321805
0,target,share_n_policies,without,DDD_adv,19542630,8726,1e-06,0.016046347302116983,0.007791356381346388,0.0394457652061162
0,target,share_n_policies,without,IPxUS_chn,19542630,8726,1e-06,-0.03237787652000443,0.02472906662303628,0.19043124907716757
0,target,share_n_policies,without,Dec_US_chn,19542630,8726,1e-06,-0.35425395937059984,0.09145642563133642,0.0001072954718417396
0,target,share_n_policies,without,Adv_Dec_US,19542630,8726,1e-06,-0.12131856132170538,0.06194750739695393,0.05018202950174033
0,target,share_frac_policies,with,DDD_dev,19542630,8726,1e-06,0.037266739754324686,0.016067146891843024,0.02037133731742058
0,target,share_frac_policies,with,DDD_adv,19542630,8726,1e-06,-0.0005812375447380076,0.009497647264292813,0.9512014782899465
0,target,share_frac_policies,with,IPxUS_dev,19542630,8726,1e-06,-0.0328434064725887,0.01596070862160744,0.03961258365966902
0,target,share_frac_policies,with,IPxUS_adv,19542630,8726,1e-06,0.003848306253258613,0.011302827528164864,0.7335004419419142
0,target,share_frac_policies,with,IPxUS_chn,19542630,8726,1e-06,-0.1035297471114201,0.06018537473648955,0.08539951840791726
0,target,share_frac_policies,with,Dec_US_chn,19542630,8726,1e-06,-0.3571436606265769,0.08668023897454723,3.784727786859676e-05
0,target,share_frac_policies,with,Adv_Dec_US,19542630,8726,1e-06,-0.11293667201018485,0.06276691768167657,0.07197084258156528
0,target,share_frac_policies,without,DDD_dev,19542630,8726,1e-06,0.004844402395067235,0.013583572005495852,0.7213636833693267
0,target,share_frac_policies,without,DDD_adv,19542630,8726,1e-06,0.003265342267719161,0.005073670327280012,0.5198440491038236
0,target,share_frac_policies,without,IPxUS_chn,19542630,8726,1e-06,-0.1027297333284297,0.06011516272870716,0.08747276679768112
0,target,share_frac_policies,without,Dec_US_chn,19542630,8726,1e-06,-0.3687091257198195,0.08665241773288745,2.090157197742748e-05
0,target,share_frac_policies,without,Adv_Dec_US,19542630,8726,1e-06,-0.12694379142342826,0.06333686505181327,0.04504180000160729
0,continuous,n_policies,with,DDD_dev,19542630,6719,1e-06,0.14039911580724249,0.11257552809335071,0.21234072451273556
0,continuous,n_policies,with,DDD_adv,19542630,6719,1e-06,-0.21174275427586356,0.1537216356542234,0.16837539996276085
0,continuous,n_policies,with,IPxUS_dev,19542630,6719,1e-06,-0.0050372599426261495,0.038038339068023126,0.8946474577622439
0,continuous,n_policies,with,IPxUS_adv,19542630,6719,1e-06,0.0867125788028278,0.04292077364323991,0.043352907240490124
0,continuous,n_policies,with,IPxUS_chn,19542630,6719,1e-06,-0.00947439725842483,0.004203795812443727,0.02421051571242039
0,continuous,n_policies,with,Dec_US_chn,19542630,6719,1e-06,-2.3958910800695192,0.2640967380324076,0.0
0,continuous,n_policies,with,Adv_Dec_US,19542630,6719,1e-06,-0.2750371664335518,0.18832822064113897,0.1441763326502321
0,continuous,n_policies,without,DDD_dev,19542630,6719,1e-06,0.1323689106700831,0.09793349534028853,0.17649677919417872
0,continuous,n_policies,without,DDD_adv,19542630,6719,1e-06,-0.004698976429819512,0.11167520134017918,0.9664371797624252
0,continuous,n_policies,without,IPxUS_chn,19542630,6719,1e-06,-0.010132627173553477,0.004352789357126729,0.019920235146831722
0,continuous,n_policies,without,Dec_US_chn,19542630,6719,1e-06,-2.4062632579193255,0.26769926103427694,0.0
0,continuous,n_policies,without,Adv_Dec_US,19542630,6719,1e-06,-0.36892004854497445,0.1951330724849897,0.05867675956413909
0,continuous,share_n_policies,with,DDD_dev,19542630,6719,1e-06,0.19487339639857307,0.05765528090013264,0.0007249247673890569
0,continuous,share_n_policies,with,DDD_adv,19542630,6719,1e-06,0.00487339546033442,0.05086178614674963,0.9236663573973818
0,continuous,share_n_policies,with,IPxUS_dev,19542630,6719,1e-06,-0.029907715622843875,0.01727661762160623,0.08343224940478722
0,continuous,share_n_policies,with,IPxUS_adv,19542630,6719,1e-06,0.008198112044813214,0.013168253885262384,0.533569515401138
0,continuous,share_n_policies,with,IPxUS_chn,19542630,6719,1e-06,-0.04701272447580986,0.020012812688094177,0.018817270484379645
0,continuous,share_n_policies,with,Dec_US_chn,19542630,6719,1e-06,-2.311009163150963,0.2629975270326226,0.0
0,continuous,share_n_policies,with,Adv_Dec_US,19542630,6719,1e-06,-0.3062413701452725,0.1590919578658257,0.054237732611571055
0,continuous,share_n_policies,without,DDD_dev,19542630,6719,1e-06,0.12759993006158735,0.04625974676849749,0.005809642850963748
0,continuous,share_n_policies,without,DDD_adv,19542630,6719,1e-06,0.03184210367259008,0.026666642509963954,0.2324466877971494
0,continuous,share_n_policies,without,IPxUS_chn,19542630,6719,1e-06,-0.046434411735705526,0.02007891841846968,0.02074490190653311
0,continuous,share_n_policies,without,Dec_US_chn,19542630,6719,1e-06,-2.351312357884779,0.2648727110823409,0.0
0,continuous,share_n_policies,without,Adv_Dec_US,19542630,6719,1e-06,-0.3664540115651984,0.1690222362421378,0.03015247351552297
0,continuous,share_frac_policies,with,DDD_dev,19542630,6719,1e-06,0.11892891197800431,0.038265306020325775,0.0018835239075152277
0,continuous,share_frac_policies,with,DDD_adv,19542630,6719,1e-06,-0.02882291918272403,0.03415454590280992,0.39872695887955834
0,continuous,share_frac_policies,with,IPxUS_dev,19542630,6719,1e-06,-0.026370474463128683,0.012827533835042254,0.03980457649539604
0,continuous,share_frac_policies,with,IPxUS_adv,19542630,6719,1e-06,0.006749192551252645,0.009976395859351313,0.49871301915117505
0,continuous,share_frac_policies,with,IPxUS_chn,19542630,6719,1e-06,-0.0749102762927283,0.06742819529079437,0.26658398110760295
0,continuous,share_frac_policies,with,Dec_US_chn,19542630,6719,1e-06,-2.348317334000499,0.2735653798192758,0.0
0,continuous,share_frac_policies,with,Adv_Dec_US,19542630,6719,1e-06,-0.35030497207204986,0.16760788309213834,0.036615389917538765
0,continuous,share_frac_policies,without,DDD_dev,19542630,6719,1e-06,0.06257728950267524,0.034609203864344976,0.07058919371556693
0,continuous,share_frac_policies,without,DDD_adv,19542630,6719,1e-06,-0.006188916242018494,0.014315403647251368,0.6655047444563897
0,continuous,share_frac_policies,without,IPxUS_chn,19542630,6719,1e-06,-0.0742637121363824,0.06726874858505684,0.269599497986746
0,continuous,share_frac_policies,without,Dec_US_chn,19542630,6719,1e-06,-2.372511053464801,0.2740656920856917,0.0
0,continuous,share_frac_policies,without,Adv_Dec_US,19542630,6719,1e-06,-0.3856302542326958,0.17080676212810106,0.023964432292687965
3,continuous,n_policies,with,DDD_dev,16886001,6701,1e-06,0.12456776852923848,0.11870494540322978,0.2939987135343811
3,continuous,n_policies,with,DDD_adv,16886001,6701,1e-06,-0.25998344074889507,0.2383390582681218,0.2753549947979952
3,continuous,n_policies,with,IPxUS_dev,16886001,6701,1e-06,-0.017960816833459948,0.03644370748212786,0.622127583187706
3,continuous,n_policies,with,IPxUS_adv,16886001,6701,1e-06,0.035858274281154685,0.04706181036869728,0.44609583428836386
3,continuous,n_policies,with,IPxUS_chn,16886001,6701,1e-06,-0.01378748943445899,0.0037111499052641167,0.00020308083628939322
3,continuous,n_policies,with,Dec_US_chn,16886001,6701,1e-06,-2.124666493264462,0.29412733861606527,5.062616992290714e-13
3,continuous,n_policies,with,Adv_Dec_US,16886001,6701,1e-06,-0.32945158534568675,0.18574589864883922,0.07611805688761697
3,continuous,n_policies,without,DDD_dev,16886001,6701,1e-06,0.09141569539673931,0.10717144326117672,0.39366730239866476
3,continuous,n_policies,without,DDD_adv,16886001,6701,1e-06,-0.18385579316648057,0.23887953863261654,0.4415021811098372
3,continuous,n_policies,without,IPxUS_chn,16886001,6701,1e-06,-0.013869340081433973,0.003738664075343717,0.00020750104483835408
3,continuous,n_policies,without,Dec_US_chn,16886001,6701,1e-06,-2.13309885086096,0.2946672121051928,4.5208281562736374e-13
