q,units,high,med,valshare,ols,ols_se,ols_p,olsw,olsw_se,olsw_p,ppml,ppml_se,ppml_p
1,831,25,46.561,9.694497e-05,-0.1522892142045185,0.3133518951554746,0.6271008233525848,-0.22242936055640103,0.33343310026883627,0.504909467469338,-0.04502208167362659,0.3718079909819908,0.9036200649203243
2,830,46,256.89648,0.000533755,0.3189627158651419,0.23243592913630853,0.17036833749994207,0.2844314085139132,0.2413389313353289,0.23892682415193223,0.5682829114212269,0.28795321103242333,0.04843575914229992
3,831,69,1262.6787,0.002589882,0.037659622131237136,0.18282349643849005,0.8368516165548936,0.028512878606328024,0.18422152142136938,0.877037529091802,0.1967870066862679,0.17041285172379603,0.24818616873663424
4,830,141,6726.1113,0.015000656,-0.067709654654679,0.14171396173350648,0.6329303112595328,-0.0748467018096549,0.1325998432854536,0.5726034381514697,0.08535075311235121,0.128022622734431,0.5049734076113452
5,831,251,88350.56,0.9817787,0.06543664716855624,0.100457491782283,0.5149839002439072,0.4115967712442475,0.1839969221864421,0.02556228196381327,0.2136891764847644,0.12311864763702345,0.08262818848668019
