num,den,share_den,loo_b,dose,ctry,sector,pct_dose
0.1163376668423487,0.004592619982177546,2.6809076835773455e-05,0.028719977108274262,0.0,4,1030,30.545876887340302
-0.2996193074525182,0.020684177111826407,0.00012074234219848926,0.028744285293578448,0.0,4,1393,30.545876887340302
-0.23491644320568256,0.0862066218084625,0.0005032247294102787,0.02874061823547925,0.0,4,1410,30.545876887340302
-0.035554901519404714,0.006727415447854851,3.927078625002978e-05,0.028728847306222986,0.0,4,3211,30.545876887340302
-0.418807679390255,0.032747750735863085,0.00019116255407229337,0.028751263081078973,0.0,8,1030,30.545876887340302
0.13175113211780978,0.004099470576336227,2.3930353935986005e-05,0.028719076531743142,0.0,8,1040,30.545876887340302
0.04107054263822037,0.032549614638165955,0.0001900059493700284,0.028724417649091175,0.0,8,1410,30.545876887340302
-0.08476277585921455,0.07284640062890363,0.00042523543407652976,0.028731830675091233,0.0,8,1430,30.545876887340302
-0.23308046020228984,0.008724007220877607,5.092574190940507e-05,0.028740381067693815,0.0,8,1520,30.545876887340302
-1.8572167651997014,0.23946269328620665,0.0013978456237450968,0.02883557725455312,0.0,8,2029,30.545876887340302
0.6849288986705133,0.03591971301567072,0.00020967864745897468,0.028686838469529023,0.0,8,3100,30.545876887340302
-1.867745566482154,0.5268429403802208,0.003075406396316143,0.028836675633592542,0.0004329004150349647,Algeria,2011,91.81184668989548
-0.8793655014097415,0.16473354577955135,0.0009616197950999257,0.028778369577513063,0.0,Algeria,2710,30.545876887340302
-0.13010538451854387,0.10237802846403601,0.0005976241104290082,0.02873452706261254,0.0,Algeria,2819,30.545876887340302
-0.14474455478556966,0.005992450595100838,3.4980483702564724e-05,0.02873521994052278,0.0,28,2620,30.545876887340302
-0.14474455478556966,0.005992450595100838,3.4980483702564724e-05,0.02873521994052278,0.0,28,2651,30.545876887340302
-0.47567925851157433,0.02331072433643458,0.00013607461585286664,0.028754567083138907,0.0,31,1030,30.545876887340302
0.011487781043508009,0.0012646907960466927,7.3825382583985245e-06,0.028726092063362085,0.0,31,1079,30.545876887340302
-0.3053416700626997,0.010155496790613295,5.928195557689347e-05,0.028744601666069347,0.0,31,1392,30.545876887340302
-0.475039385492792,0.05231721847338109,0.0003053978633829404,0.028754578419229782,0.0,31,1393,30.545876887340302
2.6806304603923823,0.2679451144072656,0.0015641096341066244,0.028570727605684555,0.0,31,2029,30.545876887340302
0.2573590419806643,0.04621319545964464,0.00026976608400262246,0.02871181484578844,0.0,31,2220,30.545876887340302
0.06706651705573974,0.018668149520797744,0.00010897393140015003,0.028722876875806297,0.0,31,2593,30.545876887340302
0.20257556930385873,0.36464504426127625,0.0021285882671157716,0.028715546571189778,0.0,31,2599,30.545876887340302
-0.43345374453974783,0.03657516691178745,0.0002135048107234059,0.028752124459735733,0.0,31,2620,30.545876887340302
-0.010310442626237048,0.006832167217055701,3.9882266895083564e-05,0.028727373854834714,0.0,31,2630,30.545876887340302
-0.2715295068106816,0.08153162587764054,0.0004759347891141716,0.028742747662614834,0.0,31,2640,30.545876887340302
-0.05313835897113642,0.001326744972111336,7.744774885977899e-06,0.028729864670465056,0.0,31,2651,30.545876887340302
-0.3368693747856364,0.08936761684606635,0.0005216768023380372,0.028746574996184653,0.0,31,2710,30.545876887340302
-0.06052375199856061,0.05211702818910052,0.00030422926751960303,0.028730380968442576,0.0,31,2740,30.545876887340302
0.6358859190376027,0.01981704200909512,0.00011568050566807007,0.02868967435509645,0.0,31,2750,30.545876887340302
0.4749505271842934,0.01345482599310315,7.854154388145923e-05,0.028699058190965968,0.0,31,2790,30.545876887340302
0.2130475990487505,0.007968177498824492,4.651364224256617e-05,0.028714337394587744,0.0,31,2813,30.545876887340302
-1.6899341823874225,0.14811129875869225,0.0008645886670521555,0.028825658404986295,0.0,31,2819,30.545876887340302
-0.8225000145521694,0.03280483907442644,0.00019149580299358688,0.02877482846119261,0.0,31,2824,30.545876887340302
0.07115649529610266,0.0039000527198887673,2.276626706255165e-05,0.0287226133649937,0.0,31,2930,30.545876887340302
