sample,outcome,coef,se,p,N
a. FULL,(1) TOTAL,-0.0059311466557999395,0.0031812877410932034,0.06226759118212777,286534
a. FULL,(2) US-bound,0.017463940659545995,0.003941157478033116,9.372295423526467e-06,241134
a. FULL,(3) NON-US,-0.008143366485725594,0.0036155012936177956,0.024300299925447355,286523
b. EVENT SECTORS,(1) TOTAL,-0.01240015701340714,0.007661294839750707,0.10554501284111573,142231
b. EVENT SECTORS,(2) US-bound,0.014609402511020286,0.01203170621836793,0.22465534272525378,119612
b. EVENT SECTORS,(3) NON-US,-0.015474348280273019,0.007927131978095027,0.05092941881143376,142228
c. SC SAMPLE,(1) TOTAL,-0.01550972984617711,0.008169969706490495,0.05764567567075196,42495
c. SC SAMPLE,(2) US-bound,0.013433254516646394,0.01227804713455951,0.27391672479809737,42495
c. SC SAMPLE,(3) NON-US,-0.01901190967971767,0.008537060780880104,0.025948249870115125,42495
