sector,name,Dec,ip,pre,gap_pre,tau,tau_aug,p_aug,n_adm,donors
2610,Electronic components,14.218996,0.00044642857,1.613784869640505,-0.27644733680729544,2.5459508558550734,-1.4276604093162661,0.23493975903614459,497,"Morocco-2012 0.96, Thailand-2813 0.04"
2620,Computers & peripherals,60.268562,0.0016369048,0.348448483518947,0.05131277299086792,0.9864024427211842,2.230313015151853,0.06997084548104957,342,"Cambodia-1520 0.26, Mexico-2740 0.17, Mexico-2630 0.15"
2410,Basic iron & steel,4.815549,0.0135289095,0.9549085738093753,0.11382975660075348,1.0487446704889614,1.83891383407642,0.1565040650406504,491,"Philippines-1104 0.37, Philippines-1040 0.30, Thailand-1030 0.15"
2710,Electric motors,21.61307,0.0022318258,0.4337423461418845,0.07389185521704743,1.3331208887720507,1.2235951976707582,0.20725388601036268,385,"Philippines-2812 0.19, Philippines-2710 0.15, Thailand-1030 0.14"
2220,Plastics products,40.80645,0.00051881355,0.14326349492203394,0.025319405810540374,1.3947706126857593,1.3103908304909837,0.1144578313253012,165,"Philippines-1410 0.17, Cambodia-2220 0.14, Philippines-2817 0.12"
2599,Other metal products,40.651867,0.0013394124,0.24656678756265196,0.05845084417303797,0.5102201379632039,0.36890309041596964,0.6339622641509434,264,"Philippines-1410 0.28, Cambodia-3100 0.23, Philippines-2790 0.18"
2790,Other electrical equip.,41.79034,0.00036375664,0.6025772219207397,0.0986432268892989,1.366055175075017,0.28973259702299137,0.7582417582417582,454,"Cambodia-3100 0.41, Philippines-2640 0.35, Cambodia-2220 0.10"
2651,Measuring instruments,14.161305,0.00034827762,0.38022740738282124,0.011716990386428866,1.798818034509985,1.2003452438734765,0.20949720670391062,357,"Philippines-2825 0.28, Philippines-2812 0.17, Philippines-2520 0.15"
2011,Basic chemicals,13.027546,0.002580547,0.279096303978532,0.0018399411799296737,0.5034004081078347,0.41834418430077697,0.5856164383561644,291,"Indonesia-2731 0.22, Philippines-2829 0.16, Philippines-2410 0.10"
2910,ISIC 2910,0.58895856,0.00048433078,0.20804455641138067,0.013352227342705237,3.2012132717735238,3.124826746418156,0.017241379310344827,231,"Philippines-3211 0.21, Indonesia-2680 0.17, Turkiye-1101 0.11"
