pre,post,ratio,tau_scm,tau_aug,corr,gap_pre,n_pool,n_cand,i,k,name,p_aug,fit_x,meas
0.20008079550109018,0.8312216135969607,4.154429771809017,0.49935572283905216,0.8230249685230007,-0.32366924568394856,-0.017741123614415277,20,246,32,1040,Argentina,0.2261904761904762,0.3763819197618213,vol
0.1877239544640732,0.6164147337525901,3.2836232089419375,0.43584325590676914,0.46831997555593047,-0.032476719649161316,-0.024581537338841053,20,852,32,1079,Argentina,0.4430379746835443,0.35313685248759225,vol
0.3863192183453977,1.4945125304446365,3.8685948290266854,-1.2578652277100872,-1.052757238442695,-0.2051079892673922,-0.042290412191339534,20,413,32,1312,Argentina,0.23795180722891565,0.7267242649529286,vol
0.7565437032980662,1.032869619158112,1.3652477902538007,-0.8984627030569454,-0.8037528904998273,-0.09470981255711805,-0.14957111139210275,20,520,32,1399,Argentina,0.38961038961038963,1.4231719277100354,vol
0.4836453995771681,0.6765675577300903,1.3988917465597446,-0.22031303045336015,-0.10852229908987854,-0.11179073136348161,-0.010935689963471662,20,394,32,1410,Argentina,0.9281914893617021,0.9098093773614362,vol
0.22315820043613907,0.6600340479574068,2.957695691520366,0.4021278948758742,1.0237495335581839,-0.6216216386823096,-0.019497353986463354,20,345,32,1709,Argentina,0.2198952879581152,0.4197939721320714,vol
0.1780223958942893,0.338483189517357,1.9013517249725715,0.02926159066856382,-0.2069973580357114,0.23625894870427522,0.01077234615444715,20,270,32,2011,Argentina,0.8040540540540541,0.3348867689149432,vol
0.1635228217812388,0.5908746492811588,3.6134078585778826,0.5699012855968886,0.5137481457718416,0.056153139825046966,-0.02033974789550969,20,571,32,2013,Argentina,0.39097744360902253,0.3076109000504123,vol
0.43166013060684116,0.6348717901939832,1.4707677294668395,0.3327820521191164,0.5106842529481133,-0.17790220082899685,-0.024606044688393214,20,712,32,2023,Argentina,0.5354107648725213,0.8120173064863496,vol
0.7227814434234063,1.5902250535215792,2.2001464868682623,-1.554320867439115,-4.11991705409435,2.5655961866552355,0.015895101746068653,20,134,32,2029,Argentina,0.01098901098901099,1.3596600641386376,vol
0.22437897494959091,2.9123084566561053,12.979417778828813,2.748193943326561,2.7239993816068013,0.024194561719759526,0.013969670733081852,20,311,32,2100,Argentina,0.015625,0.4220904316889148,vol
0.14600902136043287,0.5839372298454494,3.999322948709874,-0.4131794656638095,-0.6227037445183509,0.20952427885454142,0.000982191370127137,20,232,32,2220,Argentina,0.31666666666666665,0.2746648204019414,vol
0.20980176089815245,0.5562260345202604,2.6511981221658023,0.29576008377786134,0.3837542689788096,-0.08799418520094829,-0.05642004137705409,20,385,32,2310,Argentina,0.6022099447513812,0.39466851048094204,vol
0.7450814901895298,0.9015691315773335,1.210027551950052,0.5192807148024068,0.6772925364804303,-0.15801182167802358,-0.3684317172906714,20,363,32,2393,Argentina,0.4772234273318872,1.4016097894563093,vol
0.6105504976574958,1.6834960940406838,2.7573412854461137,1.3242288657263024,2.408482027877126,-1.0842531621508238,0.34195526653009706,20,289,32,2410,Argentina,0.07126436781609195,1.1485368590440832,vol
0.23578938018138992,0.8082282036280176,3.4277549014559408,0.7586251147188738,0.4852342199970975,0.27339089472177636,-0.009299189959629589,20,157,32,2420,Argentina,0.49261083743842365,0.4435551115731041,vol
0.5973690274146674,1.6879446864188579,2.8256314086521273,0.4169079914246856,-0.035069261239780714,0.4519772526644663,-0.09967229484237698,20,436,32,2511,Argentina,0.9747126436781609,1.1237405408224672,vol
