step,term,coef,se,p,N
"1. PPML levels, continuous IP x target x post",DDD,-0.04743788061158813,0.12149242782693151,0.6961967490288561,
"2. PPML levels, continuous IP x post (no target)",IPxP,0.02086819229114403,0.01117849353270539,0.0619272660055461,
"3. PPML levels, HIGH-quartile dummy x post",HIGHxP,0.1931937337740271,0.07336121266252557,0.0084520080093331,
"4. OLS logs,    HIGH dummy x post",HIGHxP,0.002767322555539415,0.05041455030035062,0.9562257270492331,
"5. OLS logs,    HIGH x post, complete-series sample",HIGHxP,-0.020821653559839715,0.050167219027319666,0.6781262516101036,
"6. OLS logs,    HIGH x post, HIGH+LOW only  [~ §5f]",HIGHxP,-0.08359053823600393,0.06057047930691571,0.16764461473667214,
"7. row 6, weighted by pre-period US exports",HIGHxP,0.38211980153156394,0.16168176696838385,0.018153792882944497,
