pre,post,ratio,tau_scm,tau_aug,corr,gap_pre,n_pool,n_cand,i,k,name,meas,p_scm,p_aug,fit_x,credible
0.15895101970523007,1.0202245536593926,6.418483854657671,0.7946408432365395,0.8072216609871267,-0.012580817750587132,-0.023883411608132767,20,246,32,1040,Argentina,vol,0.0625,0.41935483870967744,0.3006303487442516,True
0.29484018531583456,0.9339244367352899,3.1675615579160774,0.877086992169076,0.989534934688643,-0.11244794251956695,0.060152097721790684,20,852,32,1079,Argentina,vol,0.2540322580645161,0.36693548387096775,0.5576429009370023,True
0.3872875504801194,1.3658252161947015,3.5266437418437317,-1.1029072941283937,-0.8613189387953737,-0.2415883553330201,0.017458954785357618,20,413,32,1312,Argentina,vol,0.22379032258064516,0.4032258064516129,0.732492258187849,True
0.8804774815638641,1.1389891603405882,1.2936039639736923,0.27349160058267596,0.9566238766824722,-0.6831322760997962,-0.13868631323382138,20,520,32,1399,Argentina,vol,0.7701612903225806,0.3810483870967742,1.6652818763596475,True
0.8480652860846225,1.2538034523282826,1.4784279853227884,0.5996649209478964,0.6624566925353685,-0.0627917715874722,0.1593827302146698,20,394,32,1410,Argentina,vol,0.7116935483870968,0.5,1.6039794094200748,True
0.17353359873504565,0.8726230735753179,5.028554008769536,0.6413404913147431,0.6788865896501571,-0.03754609833541405,-0.0013461116297714556,20,345,32,1709,Argentina,vol,0.09879032258064516,0.48185483870967744,0.3282109570816753,True
0.16758676863838087,0.4693253044685164,2.8004914008529376,-0.38013413811969876,-0.3878060539561877,0.007671915836488943,0.025519058482774328,20,270,32,2011,Argentina,vol,0.33669354838709675,0.6834677419354839,0.316963482172747,True
0.16552689584590186,0.520329183573952,3.1434721282899862,0.43775890286859465,0.38044261516500943,0.057316287703585225,0.0003010279102150742,20,571,32,2013,Argentina,vol,0.2560483870967742,0.6895161290322581,0.31306756330968993,True
0.760130152813328,0.939372410979324,1.23580469410745,0.32381093775582137,0.3596215730574981,-0.03581063530167673,0.3033892769146879,20,712,32,2023,Argentina,vol,0.7943548387096774,0.7056451612903226,1.4376642147692555,True
0.708998655694699,1.6368159371462343,2.3086305227792443,-1.5952486559602441,-5.559627757325114,3.96437910136487,0.04696764917303478,20,134,32,2029,Argentina,vol,0.42943548387096775,0.008064516129032258,1.3409571924481944,True
0.28076736941043806,2.671020082032069,9.51328527827411,2.5361643093497683,2.4876596695006685,0.04850463984909986,0.04705872336747338,20,311,32,2100,Argentina,vol,0.03024193548387097,0.07056451612903226,0.531026427753636,True
0.1479268870624977,0.41311700663608514,2.7927107427167526,-0.23943160831129617,-0.28291754186734247,0.04348593355604631,0.0082448125002143,20,232,32,2220,Argentina,vol,0.3387096774193548,0.7782258064516129,0.2797799707653397,True
0.34243605493978746,1.9899838629839683,5.811256829640438,1.7805008362566985,1.8225886471958137,-0.04208781093911513,0.011306860059192287,20,385,32,2310,Argentina,vol,0.07056451612903226,0.1431451612903226,0.6476628511730566,True
0.4293966944224893,1.7885873880445586,4.1653496901043745,1.459586694579234,1.5496583511666913,-0.09007165658745736,-0.0033266476982879534,20,363,32,2393,Argentina,vol,0.16532258064516128,0.1935483870967742,0.8121349471884783,True
