MVA_W,cells,eff_don,mva_gap,pre_rmse,tau,se,t,plac,plac_se,plac_t
0.0,58,13.369511671240854,0.11383549825871535,0.09679914717774588,0.20506702,0.058404166,3.511171,0.035968423,0.021735348,1.6548353
0.5,58,13.503896430625353,0.019566872818273417,0.09847079916809923,0.19942422,0.059011664,3.3794034,0.03664536,0.022473305,1.6306173
1.0,58,13.413585346952978,-0.007981631256443508,0.09812661311271184,0.20300478,0.06048945,3.3560362,0.039639328,0.02365626,1.675638
2.0,58,13.412049956116643,-0.002957317869281674,0.0996147389654072,0.20775141,0.06176035,3.3638313,0.04289511,0.024739565,1.7338667
5.0,58,13.42848316509696,-0.0005450144675175949,0.1003911535515149,0.209223,0.062299427,3.3583455,0.044926,0.025202896,1.7825729
10.0,58,13.456983855614332,-0.00015687898959382493,0.1021880297185214,0.20856424,0.06218364,3.3540049,0.045587655,0.025382398,1.7960342
25.0,58,14.667626600592246,0.001206021443597424,0.12635144953420446,0.21119711,0.058797866,3.591918,0.04906345,0.027252546,1.8003255
100.0,58,20.07571275095814,0.0013237968475855112,0.24525536720363672,0.232995,0.053903252,4.3224664,0.088144034,0.05124276,1.7201265
