sector,donor,w,rmse,n_don,n_tr,treated
1020,44,0.009254020397252271,0.04310662896217302,51,17,0.0
1020,48,0.017014453880174415,0.04310662896217302,51,17,0.0
1020,50,0.018824629469324977,0.04310662896217302,51,17,0.0
1020,84,0.009441205276903326,0.04310662896217302,51,17,0.0
1020,112,0.03298257212456149,0.04310662896217302,51,17,0.0
1020,144,0.03542072700026864,0.04310662896217302,51,17,0.0
1020,152,0.02569606653173212,0.04310662896217302,51,17,0.0
1020,188,0.014872971989048273,0.04310662896217302,51,17,0.0
1020,214,0.021375834924581394,0.04310662896217302,51,17,0.0
1020,222,0.010803401310347275,0.04310662896217302,51,17,0.0
1020,242,0.02298263938742913,0.04310662896217302,51,17,0.0
1020,258,0.0,0.04310662896217302,51,17,0.0
1020,270,0.029793406553822725,0.04310662896217302,51,17,0.0
1020,288,0.002491282168669184,0.04310662896217302,51,17,0.0
1020,304,0.006925628509672594,0.04310662896217302,51,17,0.0
1020,320,0.02598821900173586,0.04310662896217302,51,17,0.0
1020,324,0.046056318019631975,0.04310662896217302,51,17,0.0
1020,328,0.02027815771115192,0.04310662896217302,51,17,0.0
1020,332,0.03683173186668482,0.04310662896217302,51,17,0.0
1020,340,0.020759590794325895,0.04310662896217302,51,17,0.0
1020,384,0.046121203093143576,0.04310662896217302,51,17,0.0
1020,388,0.004925156254845827,0.04310662896217302,51,17,0.0
1020,398,0.026155172655213266,0.04310662896217302,51,17,0.0
1020,404,0.0,0.04310662896217302,51,17,0.0
1020,450,0.003894291521965132,0.04310662896217302,51,17,0.0
1020,458,0.0017639439934050236,0.04310662896217302,51,17,0.0
1020,462,0.01930912440905565,0.04310662896217302,51,17,0.0
1020,478,0.03372247811668467,0.04310662896217302,51,17,0.0
1020,480,0.026882211919333182,0.04310662896217302,51,17,0.0
1020,484,0.029642987546338245,0.04310662896217302,51,17,0.0
1020,504,0.026630850766000514,0.04310662896217302,51,17,0.0
1020,516,0.0,0.04310662896217302,51,17,0.0
1020,558,0.01749931189063349,0.04310662896217302,51,17,0.0
1020,584,0.00035755119781192857,0.04310662896217302,51,17,0.0
1020,591,0.010969833655497667,0.04310662896217302,51,17,0.0
