i,name,us_exports_2015_17,pct_of_US_mkt,inside_hull,yrs_above_max,rmspe,rmspe_pct,w_max,n_pos
484,Mexico,2.7155475e+08,13.708915,False,11,3.9795022472553256,20.752924979410256,0.507785975106436,4
699,India,4.427235e+07,2.235004,False,11,2.1664558076238603,12.50215220636065,0.38473174890513673,5
704,Vietnam,4.21324e+07,2.1269724,False,11,1.7847547366530396,10.569901682037608,0.36077807775243026,5
458,Malaysia,3.523149e+07,1.7785933,False,11,2.025061582243469,11.782627584521823,0.3823489528500444,5
764,Thailand,3.0043534e+07,1.5166895,False,11,1.875356343304886,11.007180181331764,0.36483893798886324,5
76,Brazil,2.0568666e+07,1.0383692,False,11,1.5974601634997394,9.53596583841902,0.3430413550981264,5
360,Indonesia,1.8201104e+07,0.9188474,False,11,1.4002163232452405,8.460480053456216,0.3264206432197581,5
608,Philippines,1.0618337e+07,0.53604615,False,11,0.8980792386031257,5.60116807160654,0.29080637811808385,5
792,Turkiye,8.0305575e+06,0.40540713,False,5,0.5163272639881717,3.319680650704125,0.24490661825509835,7
643,Russia,7.9655605e+06,0.40212587,False,9,0.783822031978219,4.924579012573589,0.27652345531745215,5
152,Chile,7.215728e+06,0.36427203,False,9,0.5851673750196406,3.7250951952517477,0.2630549193245652,5
710,South Africa,6.633166e+06,0.33486253,False,9,0.6761946922287398,4.278411912708873,0.2656851739120241,5
50,Bangladesh,6.1995585e+06,0.3129727,False,7,0.39894937543503295,2.5830751740317024,0.22523029894484242,8
616,Poland,6.052428e+06,0.3055451,False,4,0.360176482798863,2.364858921055285,0.1892821602676346,10
348,Hungary,5.3307115e+06,0.26911062,False,4,0.2974424944807521,1.9736461711821627,0.1702234192870575,10
604,Peru,4.102768e+06,0.20712028,True,0,0.2158938479728106,1.4189471168802787,0.1843892492792349,9
586,Pakistan,3.7431908e+06,0.18896772,True,0,0.15447413554979197,1.0214524298423833,0.17599462104527144,9
32,Argentina,3.6279148e+06,0.18314825,True,0,0.1894716220069809,1.2704129424853186,0.14309532078171247,12
170,Colombia,2.939266e+06,0.14838314,True,0,0.11457543350021986,0.7668553496337492,0.13310084112177864,11
784,UAE,2.599731e+06,0.13124238,True,0,0.26871168117902844,1.898365023575095,0.09433192496601621,16
642,Romania,2.02895e+06,0.10242761,True,0,0.10574971248952944,0.7445968778312841,0.08815214542851821,21
218,Ecuador,1.6005451e+06,0.080800414,True,0,0.11760491411732517,0.8339452817335807,0.07711720918553394,22
682,Saudi Arabia,1.4785796e+06,0.074643224,True,0,0.10787605336438945,0.7607165642970646,0.07732954121848534,23
818,Egypt,1.4571691e+06,0.073562354,True,0,0.08267848500933087,0.5800444627517937,0.08506803720682954,19
504,Morocco,941007.06,0.047504917,True,0,0.10416363574258257,0.7828796141521238,0.059519803603972576,28
68,Bolivia,802726.5,0.040524088,True,0,0.2202683527911837,1.6530216885376476,0.06790519917159685,25
634,Qatar,733645.0,0.037036642,True,0,0.18703314688944003,1.440938255862887,0.06499366554165625,26
804,Ukraine,670192.0,0.033833344,True,0,0.331841132968367,2.424821663767969,0.10453555219976042,23
100,Bulgaria,573555.3,0.028954828,True,0,0.06338790302053084,0.4915990922403396,0.045680311253548794,35
191,Croatia,500533.38,0.025268456,True,0,0.04079060674944596,0.31502999795322845,0.043099387392951244,36
404,Kenya,429425.9,0.021678735,True,0,0.022369046366129818,0.17505968630294666,0.03723902997447545,41
788,Tunisia,400593.12,0.020223167,True,0,0.05227063693917558,0.4095240725937261,0.04203490240528618,37
566,Nigeria,399434.16,0.02016466,True,0,0.6176172571592472,4.770718070703859,0.10276130293819553,19
688,Serbia,302450.9,0.015268647,True,0,0.179016617923515,1.4838566786228995,0.07650444336232329,30
12,Algeria,125474.086,0.006334316,True,0,0.7414491682817295,6.014747208049569,0.1628013878262768,16
508,Mozambique,111626.125,0.005635228,True,0,0.48839878092124483,4.705964018176779,0.19407960166706725,17
288,Ghana,104960.28,0.005298716,True,0,0.1767577573985259,1.5254740870964847,0.06579660361001934,41
524,Nepal,93132.6,0.0047016186,True,0,0.02807604687206496,0.2478355661356647,0.021032894981420892,51
368,Iraq,1496.8966,7.556792e-05,True,0,0.2863627038542149,3.683765656110015,0.1456332411939654,17
