outcome,r,att,se_block,p_norm,p_t,p_percentile,se_unit,n_ctry
lnS,1,0.19583019476419491,0.15903326740705034,0.21818122035437137,0.23011160515069773,0.22,0.06966487943418656,25
lnS,2,0.22912454222829082,0.23834985794303074,0.33640382847137773,0.34598961290044694,0.28,0.09720571332768567,25
lnD,2,0.2353044541783416,0.24648474310560442,0.3397592500740614,0.3492765522895156,0.345,0.0883636648462942,25
lnX,2,0.23367617281263106,0.23900846316803626,0.3282276930122596,0.3379805958358886,0.265,0.0974804551257913,25
