k,grp,ip,Dec,pre,gap_pre,tau,tau_aug,p_aug
1020,LOW,0.0,15.234002,0.112548890620767,0.06408165219511504,-0.06794310812235516,0.0658499554996255,0.9130434782608695
1030,LOW,0.0,13.698525,0.3485542364790904,0.09010919964135944,0.6752714694962076,-0.17188081972492142,0.8221574344023324
1040,LOW,0.0,1.2333066,3.204563663553742,-1.9921115923576693,1.8653183081792548,-0.4454104418911089,0.642570281124498
1061,LOW,0.0,1.9402626,0.5693761227292473,0.06052780835253557,0.3080880127596686,0.85105845323333,0.3955056179775281
1062,LOW,0.0,3.3546035,0.27579700960948106,-0.0035658385973746124,0.9323313689484678,1.6487089851045686,0.12110726643598616
1071,LOW,0.0,1.3663678,0.08001756241528316,-0.00400420728254341,0.7361885945529636,0.7422953200607236,0.12962962962962962
1072,LOW,0.0,0.23067021,1.6135724542737924,-0.05392450250869928,-0.1334576598839945,3.3115048762641086,0.04417670682730924
1073,LOW,0.0,3.20268,0.22797137249049668,-0.013207388012043837,0.5076846138208229,0.3288535044426677,0.6600790513833992
1074,LOW,0.0,12.091434,0.10113169570110371,-0.0024708534118846677,0.5938388640345238,0.7663105330600857,0.21649484536082475
1103,LOW,0.0,0.33263183,0.2955124979360161,-0.004147039173541584,1.7597398245890208,1.6161722782497168,0.13029315960912052
1104,LOW,0.0,0.6874891,0.7115921234856,-0.12853646898564064,2.4343184211937663,1.7665556710677053,0.1613588110403397
1200,LOW,0.0,1.3146317,0.5227607051708086,-0.1768428165614437,1.1719134697920275,0.8601068052736265,0.3808411214953271
1312,LOW,0.0,33.363693,0.12214254677439204,0.004898363029648936,0.229283656162675,0.20848329732371285,0.7153846153846154
1391,LOW,0.0,46.508713,0.2085962163595585,-0.0016044950244678607,-0.7521160636295576,-0.6042876990737399,0.3905579399141631
1393,LOW,0.0,22.977533,0.5664049889062197,0.030627668843174905,4.869099118328771,4.802395232051939,0.0044943820224719105
1394,LOW,0.0,45.49442,0.09264548172834201,-0.0031557606759216646,0.7600013800915182,0.8647919005006232,0.16470588235294117
