outcome,r,level,n_clusters,att,se,p_norm,p_t,p_percentile
lnX,2,ISIC 4-digit sector,123,0.23367617281263106,0.10555896084063521,0.02684922652936872,0.028708112431083066,0.02
lnX,2,ISIC 2-digit division,24,0.23367617281263106,0.12006848700025947,0.05163183659167481,0.06394959106442055,0.055
lnX,2,country (for reference),25,0.23367617281263106,0.23900846316803626,0.3282276930122596,0.3379805958358886,0.265
