i,name,pre_rmspe,post_rmspe,ratio,p,gap_post,gap_pre,g_US,g_RoW,g_US_pre,g_RoW_pre,held_in,held_out,w_max,n_pos,us_val
484,Mexico,0.15836349766236033,0.2949043636989794,1.8621991055522888,0.8153846153846154,0.2444898960728367,0.034581602856304426,6.091910774092328,5.847420860989593,5.833259527666388,5.798677924810082,0.06882822911349595,0.3925331488172114,0.5439454343050615,5,271554752.0
699,India,2.45030065868952e-08,0.3390051613018931,13835247.52767284,0.038461538461538464,0.3107562805336606,9.615746797293893e-10,6.7273159868497725,6.416559706316112,6.250494308133875,6.2504943075627315,4.109124353836483e-16,0.164431372590985,0.032873519349481364,43,44272352.0
704,Vietnam,4.413609167987441e-09,0.6403447128944519,64034471.28944519,0.023076923076923078,0.5628325622234882,1.688927735039995e-10,6.7533901168351615,6.190557554611672,5.244388655737412,5.244388656413978,0.0,0.12950536090239972,0.04100013575780658,38,42132400.0
458,Malaysia,4.934669258211452e-10,0.3033024095102634,30330240.95102634,0.023076923076923078,0.27797667373626395,1.1276629882398224e-11,6.536221696445353,6.2582450227090884,6.247158921230727,6.2471589220262125,5.2453107553144695e-18,0.22927925069282007,0.03557521650299783,38,35231488.0
764,Thailand,2.7448634593608683e-14,0.5613908338053886,56139083.38053886,0.023076923076923078,0.5016727386476799,-3.7848512203130334e-17,6.615823843130731,6.11415110448305,6.187407531131501,6.187407531449579,3.23342670699843e-17,0.12784087756969917,0.02732459758953157,43,30043534.0
76,Brazil,4.466812832268036e-10,0.3011104459368021,30111044.593680207,0.023076923076923078,0.2893107013271879,9.713728716589174e-12,5.957227727333051,5.667917026005865,5.934793411584559,5.934793411574845,5.927505768260449e-17,0.19970685971105556,0.028687105343703202,48,20568666.0
360,Indonesia,2.4264738724208584e-10,0.20757543038890755,20757543.038890753,0.023076923076923078,0.19108617784135304,3.361612125027139e-12,5.863584176602963,5.672497998761609,5.547430356104408,5.547430356428152,7.417989609027187e-18,0.11018881859474662,0.03308760686193014,43,18201104.0
608,Philippines,1.3571048047991205e-10,0.29899813073529563,29899813.073529564,0.023076923076923078,0.28221143751601324,2.4935798375642033e-12,5.270914401377356,4.988702963861343,5.0519696677110115,5.051969667708518,1.1646479925483967e-16,0.07552234119420873,0.033900465148625235,42,10618337.0
792,Turkiye,2.220446049250313e-16,0.2862602908590909,28626029.085909087,0.023076923076923078,0.22838504405773358,1.0092936587501423e-16,6.201950862970881,5.973565818913146,5.881575485580771,5.881575485584406,0.0,0.13510987029117363,0.027159649256363015,38,8030557.5
643,Russia,1.3649163226178088e-12,0.32868342745620854,32868342.745620854,0.023076923076923078,-0.12350345099811201,-8.185371572463655e-15,5.300166541162876,5.423669992160989,5.609406678783417,5.609406678783425,0.0,0.08201315470761417,0.026738193223001486,45,7965560.5
152,Chile,2.179645203237818e-08,0.5521764733554033,25333319.043629512,0.023076923076923078,0.49766956586188144,1.1831641146618146e-09,5.046596984451298,4.5489274185894155,4.851003072503058,4.851003071319894,2.009713966272124e-16,0.2382258332255073,0.04625515589101594,39,7215728.0
