outcome,block,estimand,n_draws,se,att,p_norm,p_t,ci_lo,ci_hi
lnX,country,sample ATT (controls only),400,0.10974598089198564,0.23367617281263106,0.03323392648299306,0.04369244958202145,0.052198304596911174,0.4578947635552075
lnX,country,population ATT (treated too),400,0.13739353197934695,0.23367617281263106,0.08898430416033931,0.1019080015564171,-0.020153240153912226,0.5000717802131627
lnX,ISIC 4-digit sector,sample ATT (controls only),400,8.33710058193036e-17,0.23367617281263106,0.0,0.0,0.2336761728126315,0.2336761728126315
lnX,ISIC 4-digit sector,population ATT (treated too),400,0.08328967600095488,0.23367617281263106,0.0050225506232211,0.005847321194301536,0.08078573747096167,0.40034081042455916
