MVA_W,cells,eff_don,mva_gap,pre_rmse,tau,se,t,plac,plac_se,plac_t
0.0,58,13.369511671240847,0.11383549825871536,0.09679914717774565,0.20506702,0.058404166,3.511171,0.035968423,0.021735348,1.6548353
0.5,58,11.334753536574388,-0.012332270084083682,0.11187258522376592,0.23628569,0.058022443,4.072315,0.044121318,0.024490215,1.8015896
1.0,58,11.554144396927796,0.06491837256435146,0.1152676162607961,0.25396314,0.057286456,4.433214,0.04665353,0.0258929,1.8017886
2.0,58,12.549575377650303,0.22698056964008748,0.11360243948343261,0.28756797,0.06023078,4.7744355,0.05230867,0.027840585,1.8788639
5.0,58,13.285175969666689,0.22600019961554266,0.10919877252606507,0.2562684,0.05972037,4.291139,0.053803716,0.025823731,2.083499
10.0,58,13.30803074579514,0.12131239142357379,0.10451929976660126,0.22803847,0.060372587,3.7771857,0.050162863,0.025354367,1.9784703
25.0,58,14.768610763600318,0.04819316401028774,0.12737769468621613,0.21879381,0.057995804,3.77258,0.050179604,0.027430274,1.8293512
100.0,58,20.10345445523781,0.013200776755917657,0.24525281688102324,0.23367897,0.053755403,4.347079,0.08892023,0.051273383,1.7342376
