spec,outcome,term,N,coef,se,p
B. between  (no delta_ict),x_us,IPxDec,402678,-0.14085029985429415,0.0859667577053648,0.1013325465520174
B. between  (no delta_ict),x_us,IP,402678,-0.002922718916566473,0.04376450021179833,0.946754560933611
W. within   (+ delta_ict),x_us,IPxDec,349023,-0.005096508190357974,0.03899427141617633,0.8960135064089423
W. within   (+ delta_ict),x_us,IP,349023,-0.010089930983889531,0.012271676677423137,0.41095573281372655
