lag,measure,ladder,N,IP,IP_p,IPxDec,IPxDec_p
0,n_policies,L1 st,186585,0.11932249325519928,0.023191161588184572,-0.0016664089902310622,0.9281217866914295
0,n_policies,L2 +i,186585,-0.008852084658344998,0.8501294162843869,0.023020292068439405,0.32708857581554307
0,n_policies,L3 +is,184533,-0.004562475143523764,0.47016284057061863,0.005861246469022092,0.5290801341506843
0,n_policies,L4 +is+it,184443,-0.001685003269197365,0.7865138351238137,-0.005513514372238874,0.3568231773144741
0,frac_policies,L1 st,186585,0.059784022958544306,0.00028851174375454924,-0.0014458445670427768,0.9042438038882317
0,frac_policies,L2 +i,186585,0.0023023441139525865,0.7813896869924402,0.004400070523728404,0.6058125109053356
0,frac_policies,L3 +is,184533,0.0007613197905599188,0.8341994459838247,0.007014974394035241,0.18348263258396358
0,frac_policies,L4 +is+it,184443,-0.0002608364267132133,0.9224475257932332,0.0005645092501937152,0.8225596336930043
0,n_sub,L1 st,186585,-0.019623734501081964,0.3457622899732393,0.009248965420587493,0.3374841143874816
0,n_sub,L2 +i,186585,-0.032293195772628035,0.16081912944920873,0.008848094829279708,0.5982174737029582
0,n_sub,L3 +is,184533,-1.5637510856039613e-05,0.9970406198221318,0.009312280444900815,7.404434289481898e-06
0,n_sub,L4 +is+it,184443,0.0003537169974096119,0.9134186144419851,0.0008643142010992805,0.7594494415279858
0,frac_sub,L1 st,186585,0.001060790162311343,0.9395092303526111,0.014710380329122365,0.3286397762462572
0,frac_sub,L2 +i,186585,-0.009541335492503503,0.3266517211938482,-0.016900896419045363,0.4825848224962397
0,frac_sub,L3 +is,184533,0.0030603275758338687,0.6455152863976008,0.0017619870765431716,0.7553712471107483
0,frac_sub,L4 +is+it,184443,-0.0008907341163710829,0.865827830996331,-0.004414832019872646,0.469810606839159
0,share_n_policies,L1 st,186585,0.07632807549784235,0.0003711035070443902,0.057717330676311955,0.00021161171639749732
0,share_n_policies,L2 +i,186585,-0.07817261936649068,0.06616671519360895,0.057000692880375334,0.04043515587775359
0,share_n_policies,L3 +is,184533,-0.012473944017839064,0.21448320549906308,0.024514973421900645,0.03958529883689654
0,share_n_policies,L4 +is+it,184443,-0.0026756354618018047,0.7876980211116213,0.005069710119724633,0.7057436749424921
0,share_n_sub,L1 st,186585,0.0017958318864606823,0.8187907526904112,0.004427184950938607,0.5340803097378628
0,share_n_sub,L2 +i,186585,-0.024311539204371402,0.5293301090072913,0.017017856765045466,0.6240808333155714
0,share_n_sub,L3 +is,184533,-0.0004467517191688422,0.9391216043801416,0.0018197955275010248,0.7608547602060092
0,share_n_sub,L4 +is+it,184443,0.002275502988397607,0.8009662858448918,-0.001519851967252372,0.8684836636171247
0,share_frac_policies,L1 st,186585,0.03460392350446929,1.041440136795302e-06,0.004457436115842397,0.6031079205721508
0,share_frac_policies,L2 +i,186585,-0.06497988168960424,0.011951314853108741,0.040354232847616835,0.07675020366984997
0,share_frac_policies,L3 +is,184533,-0.008118381743858075,0.11898002297652299,0.02239943471640969,0.004459244339778623
0,share_frac_policies,L4 +is+it,184443,-0.007092953686858164,0.17297423845875137,0.012239222639543513,0.0863607352168827
0,share_frac_sub,L1 st,186585,0.01063214697462941,0.437551582415741,-0.004685823760643349,0.7269031257069132
0,share_frac_sub,L2 +i,186585,0.013933158926059173,0.23815516896986155,-0.023913318840047378,0.4924180505890712
0,share_frac_sub,L3 +is,184533,0.0021333853137858534,0.6142640898979079,-0.0008404068623895638,0.8464639588870142
0,share_frac_sub,L4 +is+it,184443,0.0021094806732563924,0.5567397081571679,-0.0014988847771334568,0.6842695749905388
