num,den,sh,loo,ctry,sector,trt
0.005834002319022836,1.162214699773688e-05,1.9509009181549488e-05,-0.14863791170699558,4,1030,False
-0.017716550129298826,7.276871128870214e-05,0.00012215001728486602,-0.14824274273042978,4,1393,False
-0.0054000261061387346,4.5126630323148834e-05,7.57498460033358e-05,-0.14844942005041792,4,1410,False
0.0022887243839396273,2.7268752449169867e-05,4.5773499681586015e-05,-0.14857843945995697,4,3211,False
-0.021339910746417407,8.46626540900121e-05,0.00014211526461487865,-0.14818195028143774,8,1030,False
-0.029382371741278814,0.00020697435765361198,0.0003474284609027829,-0.14804725279354355,8,1040,False
0.00020677601841753894,8.566088623931928e-07,1.4379090339056646e-06,-0.1485434258698776,8,1410,False
-0.00041617555069466345,2.1453842078847867e-06,3.60125544942132e-06,-0.1485329721787187,8,1430,False
-0.004100924699024367,2.6940661543900028e-06,4.522276422069927e-06,-0.14847112111256155,8,1520,False
-0.09752111430288515,0.0006657853427512966,0.0011175914714557785,-0.1469045990024601,8,2029,False
0.00012357454254805303,1.1860876887409189e-09,1.990974267859046e-09,-0.1485420271116992,8,3100,False
-0.09921778327834353,0.0014080050301701666,0.002363486115483352,-0.1468779482567751,Algeria,2011,False
-0.017197158689222822,6.20352193292092e-05,0.00010413271004992822,-0.14825143456757037,Algeria,2710,False
-0.013659532917118787,0.0008789534509215827,0.0014754168010026724,-0.14831285123117532,Algeria,2819,False
-0.018760783441340835,9.698265626605425e-05,0.00016279569789591684,-0.14822527439009073,28,2620,False
-0.018760783441340835,9.698265626605425e-05,0.00016279569789591684,-0.14822527439009073,28,2651,False
-0.044090687709877084,0.0002010026129894173,0.0003374042526815025,-0.14780034240127266,31,1030,False
-0.0017717991315669567,2.5437375449571925e-05,4.2699338710554415e-05,-0.14851027465972577,31,1079,False
-0.03902806657702019,0.00016804146609751528,0.0002820754638205689,-0.14788524234194705,31,1392,False
-0.03974343173984603,0.00037244637851906626,0.0006251908377667397,-0.14787374152234892,31,1393,False
0.107961203493449,0.00043374346267044785,0.0007280845094561767,-0.15035329104218217,31,2029,False
-0.004378514471486821,1.3574593162446855e-05,2.2786397615994954e-05,-0.14846648858904,31,2220,False
0.0034422723875509914,4.246839730734736e-05,7.128771931348518e-05,-0.14859784091189088,31,2593,False
0.00536142168916256,0.0002399973373049175,0.0004028610426232595,-0.1486305487155598,31,2599,False
-0.03764240745319171,0.00026828512265782964,0.00045034509735799363,-0.1479087510551357,31,2620,False
0.0013540210107061109,0.00025885105261932436,0.0004345090079472832,-0.14856332698172495,31,2630,False
0.00525452005732914,2.5366782770169186e-05,4.2580841394104504e-05,-0.1486282187705999,31,2640,False
0.004709861388135512,1.0999457388078181e-05,1.8463758479209154e-05,-0.1486190402493744,31,2651,False
-0.020796713429828754,0.0003420322317956717,0.0005741374594373107,-0.1481917086607613,31,2710,False
0.004886420140249106,0.00042012658273258056,0.0007052271289925121,-0.14862302466494157,31,2740,False
0.02881388141888817,4.1620425813883826e-05,6.986430902148889e-05,-0.14902372852214246,31,2750,False
-0.0849077824386114,0.0004162701484966632,0.000698753694184709,-0.14711571336911214,31,2790,False
0.008261592006403518,1.274716590239167e-05,2.1397473003647147e-05,-0.1486786641961436,31,2813,False
0.014258872858937418,1.07373638266063e-05,1.8023806575470923e-05,-0.1487793299326445,31,2819,False
-0.02309945980499195,2.7234482138851284e-05,4.571597332274802e-05,-0.1481522715201535,31,2824,False
-0.020420029091690085,0.00034904652470836513,0.0005859116957176177,-0.14819804919338805,31,2930,False
-0.011109108951454325,4.405146677103559e-05,7.394506969015295e-05,-0.14835358427600137,31,3092,False
0.013735946674844124,2.5107590880917405e-05,4.214576025563837e-05,-0.14877058794556539,31,3100,False
-0.02283352378243471,0.00037940713764345545,0.0006368752118926827,-0.14815761138883332,31,3240,False
-0.07332202839396337,0.0007388890663347368,0.0012403038424895043,-0.14731099169393244,31,Wastes,False
0.09407637078275835,0.000557559765743145,0.0009359233359605331,-0.15012052967946501,Argentina,1010,False
0.009730636220833781,7.023609807563589e-05,0.00011789875678741715,-0.14870346717095353,Argentina,1020,False
-0.0003490368316410563,3.966056593924749e-05,6.657447588684724e-05,-0.1485341927102957,Argentina,1030,False
-0.006072172759852769,0.00013186011167095355,0.00022134121430142768,-0.1484383534593837,Argentina,1040,False
-0.005520710152508323,0.0003176770003922225,0.0005332546145411676,-0.14844807339640576,Argentina,1050,False
0.02097269508459062,0.00014883044937652294,0.0002498277301040945,-0.1488923737343012,Argentina,1061,False
0.07909090741469141,0.000787975405358876,0.001322700480468447,-0.14986956005945623,Argentina,1062,False
0.0016156757384378998,4.188882460710228e-06,7.031484492696619e-06,-0.1485670840599048,Argentina,1071,False
-0.002025645182894364,1.757453921392625e-06,2.950073226166838e-06,-0.1485059545520426,Argentina,1072,False
-0.0028865603169031147,0.00012455708317664167,0.00020908230465449315,-0.1484918092654195,Argentina,1073,False
-0.018384179796510594,0.0002893548100960739,0.0004857128074519312,-0.1482320747604046,Argentina,1074,False
-0.0005173909236524403,8.044754245143834e-06,1.3503975165895026e-05,-0.14853128787966713,Argentina,1079,False
-0.002125574352131863,1.7067360432051108e-06,2.8649378762679255e-06,-0.1485042770082321,Argentina,1080,False
-0.0003096582270714814,1.991505709096301e-05,3.3429540317665455e-05,-0.1485348044906753,Argentina,1101,False
0.002655369020405259,0.0006045451975510954,0.001014793377848565,-0.148586033811607,Argentina,1102,False
0.031035165188053455,0.00036084531874652087,0.0006057172257342673,-0.1490618139101404,Argentina,1103,False
-0.019061551671733158,0.00014099200533333482,0.00023667006854316295,-0.1482203351644229,Argentina,1104,False
0.008665310897072457,0.00042388779043347227,0.0007115407159385988,-0.14868646719815684,Argentina,1200,False
-0.012886338042099533,0.0004296212601024879,0.0007211649542516007,-0.14832471156217958,Argentina,1311,False
-0.029608889791831544,0.0001414177465619043,0.00023738472045203518,-0.14804328752112655,Argentina,1312,False
0.005181497055147025,2.583897699874876e-05,4.337346960149402e-05,-0.1486269941794221,Argentina,1392,False
-0.013146247381046243,0.00013039343254574003,0.0002188792374802991,-0.14831960368261843,Argentina,1393,False
0.0004961620900445544,2.2394257996210803e-08,3.7591142578659334e-08,-0.1485482814426318,Argentina,1394,False
0.0009333763572453999,2.1475404053994153e-07,3.604874856155576e-07,-0.14855562102855333,Argentina,1399,False
0.002737602217389117,1.4662001087160035e-05,2.461172741017584e-05,-0.14858594291156876,Argentina,1410,False
-0.01371227314978501,0.0014140937514449574,0.002373706681380249,-0.14831329822025074,Argentina,1420,False
0.0008859785158102018,2.0703024905216535e-06,3.4752228055656632e-06,-0.14855483003248737,Argentina,1430,False
-0.007014998969978838,0.0006366829677633241,0.0010687400414269026,-0.14842378482837845,Argentina,1511,False
-0.008336663294005738,3.4665472179929014e-05,5.8189680028369425e-05,-0.14840009937688078,Argentina,1512,False
4.6500975162779864e-05,1.5931653000211154e-06,2.6742973111500168e-06,-0.1485407373194042,Argentina,1520,False
0.032186858897799195,0.00018763985564810946,0.000314973444009649,-0.14908071298489262,Argentina,1610,False
0.04286643481141497,0.000396604694287206,0.000665743138836687,-0.14926050514601463,Argentina,1621,False
0.03300990452901315,0.0003680107370160766,0.000617745141990844,-0.14909498014305902,Argentina,1622,False
-0.007095128145758063,7.55964700417912e-05,0.00012689671094550926,-0.14842104185198587,Argentina,1629,False
-0.0008155729183384246,1.0804530776349338e-06,1.8136553440528537e-06,-0.14852626521404222,Argentina,1701,False
0.002030858753203606,3.8368071897228105e-06,6.440488724390854e-06,-0.14857405247057492,Argentina,1702,False
-0.0013094329443493063,6.2747031486257585e-06,1.0532756242187805e-05,-0.1485179881978106,Argentina,1709,False
0.01549438601222579,0.00039712833476386757,0.0006666221250402698,-0.1488010344592046,Argentina,1811,False
0.27790064023665817,0.004129810383412593,0.006932325731531649,-0.15321543182902142,Argentina,1920,False
-0.056428648384336304,0.005151453393430345,0.008647262125520066,-0.14760550176598491,Argentina,2011,False
0.00772066525341753,0.00035854012243966016,0.000601847708688529,-0.14867044712178662,Argentina,2013,False
0.0006642430631892232,3.759295476029155e-08,6.310377073383374e-08,-0.14855110289833814,Argentina,2022,False
0.01856627481253016,0.000653488703972594,0.001096950256120727,-0.1488532402835488,Argentina,2023,False
0.0722996082858522,0.0008240564912111346,0.0013832664185269706,-0.14975565007858618,Argentina,2029,False
-0.013063520427674401,5.923271092487355e-06,9.942840178380492e-06,-0.14832068244894117,Argentina,2100,False
7.959700325924426e-05,0.0005868168376543803,0.0009850344412195432,-0.14854275209626433,Argentina,2211,False
-0.001286027073803916,4.835941032019171e-06,8.117641087611876e-06,-0.14851837750337957,Argentina,2219,False
0.0023459769189466,1.7602254038667427e-05,2.954725454111003e-05,-0.14857937639619212,Argentina,2220,False
0.0017314159806982579,3.116096273954493e-06,5.230698839982668e-06,-0.14856902420763088,Argentina,2310,False
0.00019684348107351751,4.8104759224319734e-08,8.07489519420315e-08,-0.14854325712570768,Argentina,2391,False
0.005357971664359032,2.3347146276116426e-06,3.919066684945797e-06,-0.14862989785355268,Argentina,2392,False
-0.11308757229349597,0.0009109593734607939,0.0015291421442463107,-0.14664390005819533,Argentina,2393,False
-0.0002192164741412232,0.0006086139401042871,0.0010216231947354996,-0.148537790493657,Argentina,2395,False
-0.016650365163403767,0.0003276609487020141,0.0005500137330828422,-0.14826127415728044,Argentina,2396,False
1.9640526652016954e-05,1.7667592983934645e-10,2.965693290633628e-10,-0.1485402824662426,Argentina,2399,False
0.00034249185380169124,3.0840744290520444e-06,5.176946769359773e-06,-0.1485457095586548,Argentina,2410,False
-0.006245811580884154,8.886935885913081e-06,1.4917666574676813e-05,-0.14843513233499694,Argentina,2420,False
0.0007191600633802129,1.7371245286605602e-06,2.9159481794312904e-06,-0.14855202897652248,Argentina,2431,False
-0.0011512714566980892,4.2090540728348736e-07,7.065344687910376e-07,-0.14852062851281983,Argentina,2511,False
0.000535470770395257,4.920707761061968e-07,8.259931053098275e-07,-0.14854894245178002,Argentina,2512,False
-0.0012366765617357217,5.314531266206705e-06,8.921005670316142e-06,-0.14851920709740274,Argentina,2520,False
0.0002050412900328939,1.858034420331693e-06,3.1189082854436824e-06,-0.14854339924763066,Argentina,2593,False
-0.01959976316877198,0.0005462374335485223,0.0009169175977966242,-0.14821230890389447,Argentina,2599,False
0.0004983023993256116,0.0007968326304337744,0.0013375682742885469,-0.1485503042758986,Argentina,2610,False
-0.014615387411319632,0.0005885130081398698,0.000987881643684056,-0.14829608295446398,Argentina,2620,False
-0.054386149979762856,0.000574499740029322,0.0009643588835360882,-0.14762844710629683,Argentina,2630,False
0.003157245494733807,8.08452990172973e-06,1.3570742833666524e-05,-0.1485929706656667,Argentina,2640,False
0.001253250018399124,2.082400363147833e-05,3.495530370784663e-05,-0.14856104184242364,Argentina,2651,False
0.0005300005145337893,9.589958026765914e-07,1.6097763970054893e-06,-0.1485488517920208,Argentina,2660,False
-0.0002843765132994824,1.7826484001813433e-07,2.9923648370119915e-07,-0.1485351796610848,Argentina,2670,False
0.015629326409703766,0.000695587292482973,0.001167617212057456,-0.14880404509824408,Argentina,2710,False
-0.00457933233715343,2.449665395065315e-06,4.112023767498319e-06,-0.1484630899223665,Argentina,2720,False
0.033100484805935804,0.0023237307560719437,0.0039006290889698836,-0.14910139549470286,Argentina,2731,False
0.0008236563789953698,3.5107610312393134e-07,5.893185588343607e-07,-0.14855377960201555,Argentina,2732,False
-0.005522715388703629,0.0008052464730754496,0.0013516918035624853,-0.14844925470659137,Argentina,2740,False
-0.0011392037467952353,2.0405724036141556e-06,3.425317694353459e-06,-0.14852083512011965,Argentina,2750,False
-0.011877470221270786,0.0007999040509361441,0.0013427239800968451,-0.14834256864639242,Argentina,2790,False
0.0027766698179988647,1.388181448208696e-06,2.330210125894437e-06,-0.14858656559558622,Argentina,2811,False
0.0011414927064771463,3.1812290020643814e-06,5.340031047789247e-06,-0.14855912188028375,Argentina,2812,False
0.0008047963122325473,1.8572291552925802e-05,3.117556562475053e-05,-0.148553508452688,Argentina,2813,False
0.0005730504507109816,2.7585397752951125e-06,4.6305022483695305e-06,-0.1485495789182493,Argentina,2814,False
-0.0028460592567415457,3.220933422165933e-06,5.406679137549263e-06,-0.14849218667716635,Argentina,2816,False
0.0026713159704031242,3.1086622721715546e-06,5.218220077748182e-06,-0.14858480141036487,Argentina,2818,False
-0.004818100459885074,2.1188380508066436e-05,3.556694902882613e-05,-0.1484591286431586,Argentina,2819,False
0.025349212673332296,0.0038169664883111014,0.006407183997984899,-0.14897501136296162,Argentina,2821,False
-0.002179450107660393,5.908915246569879e-06,9.91874236496723e-06,-0.14850338312151778,Argentina,2822,False
0.040129216747105644,0.001996369495996369,0.003351118415103721,-0.1492185648303478,Argentina,2823,False
0.005501332566094724,7.082032277503999e-06,1.188794400490367e-05,-0.14863231616310407,Argentina,2824,False
-0.0002839680324904168,8.33049569039469e-07,1.398362255634996e-06,-0.14853518815045794,Argentina,2825,False
3.253794158357447e-05,4.401985956488236e-09,7.389201363474712e-09,-0.14854049897359772,Argentina,2826,False
0.0017379039636498277,9.443404700292137e-06,1.58517586328035e-05,-0.14856914889494616,Argentina,2829,False
0.023973820494632075,0.002693782530399418,0.004521800329052216,-0.14894911402162542,Argentina,2910,False
0.001723558746662022,9.701761433894135e-07,1.6285437873733593e-06,-0.14856888696391643,Argentina,2920,False
0.03962017203788487,0.0007055750315112456,0.001184382693723058,-0.14920678666233822,Argentina,2930,False
-0.10902355942702269,0.0012865543552549432,0.002159618247309954,-0.14671304488225612,Argentina,3012,False
0.2749367576464515,0.002034992165876035,0.0034159506721251716,-0.1531602903962718,Argentina,3030,False
-0.002067802620307346,2.0617469261728865e-06,3.4608613813412117e-06,-0.1485052476531682,Argentina,3091,False
0.006401086999612218,8.231895274853416e-06,1.381811127754116e-05,-0.14864742236865833,Argentina,3100,False
0.002271300411200394,5.4448143071101595e-06,9.139699603690123e-06,-0.14857809255009252,Argentina,3211,False
-0.00034487013503888247,5.212266797502499e-07,8.749343888780842e-07,-0.1485341650664436,Argentina,3212,False
-0.006217717420558242,0.0002646576001078225,0.00044425591514853194,-0.14843624121906612,Argentina,3220,False
-0.0009285126934434493,1.716372320681565e-06,2.8811133923580863e-06,-0.14852437098526194,Argentina,3230,False
-0.0218675609447377,0.00013452521741808023,0.0002258148776013859,-0.14817321711995962,Argentina,3240,False
0.014885054207486738,0.0008979010628468285,0.0015072223817692932,-0.14879205686370162,Argentina,3250,False
0.005707497616011863,7.096161052080632e-06,1.1911660654933416e-05,-0.14863577689828528,Argentina,3290,False
-0.022829749667960003,0.0003725918522825826,0.0006254350309428085,-0.1481576577921481,Argentina,Wastes,False
0.0006239286656965892,0.00019772170040804535,0.00033189689214938137,-0.1485509191204641,44,1020,False
0.005283482251970187,1.320581758825159e-05,2.2167368613495884e-05,-0.1486286745917441,44,1071,False
-0.0034637159442149237,1.4835921261037527e-06,2.4903670909917622e-06,-0.14848181432233806,44,1101,False
-0.19778549113163418,0.000608933892397145,0.0010221602686703102,-0.14522139745751111,44,1103,False
