fe,t,b,s
sector x year,2007,-0.02733736532479892,0.1822790545972306
sector x year,2008,-0.02570198277659888,0.1678518509565291
sector x year,2009,-0.2080671455709275,0.13613822143902135
sector x year,2010,-0.10369624070390689,0.12323739533855427
sector x year,2011,-0.01772557746371114,0.11405674702287277
sector x year,2012,-0.05573853812538042,0.09821083100211435
sector x year,2013,-0.007594833849796759,0.09301715139363143
sector x year,2014,-0.02043481783565583,0.05373395963995347
sector x year,2015,-0.0259806732131984,0.0454818503633212
sector x year,2016,-0.04301640443059562,0.04036205781979367
sector x year,2018,0.022373475030236064,0.03203613825902864
sector x year,2019,0.08571376365310741,0.04454581735917768
sector x year,2020,0.17205101759546748,0.06023513950880753
sector x year,2021,0.2986086365058682,0.10173740861454902
sector x year,2022,0.3730287495287109,0.11711786836106115
sector x year,2023,0.24049014213884556,0.13486346343281794
sector x year,2024,0.26218654281268405,0.16030518762520615
sector x year,2017,0.0,0.0
both,2007,-0.2295732309858767,0.2548913511584578
both,2008,-0.09794404453328819,0.24862692632591737
both,2009,-0.2520548601435869,0.29628812650176445
both,2010,-0.10200495218215103,0.2874894180755716
both,2011,0.08345185770895576,0.3157431982994025
both,2012,0.11260753717623423,0.20819792104622203
both,2013,0.13598886366208016,0.21976210542674615
both,2014,-0.0963088019532307,0.27152606926562856
both,2015,-0.04436988480934436,0.1975993680778025
both,2016,0.0005036896113723825,0.1557912911064719
both,2018,0.01936025527876513,0.08333960827114838
both,2019,-0.03843723151547341,0.10280479720263155
both,2020,-0.10934106470382914,0.16805013331358365
both,2021,0.13567727699775722,0.13159133574045656
both,2022,0.048722051010155414,0.16345117715581972
both,2023,0.10005404551189348,0.25101370350609725
both,2024,-0.06823151027708499,0.20266167277063288
both,2017,0.0,0.0
