lag,step,term,coef,se,p
0,1. DDD pooled,DDD_pooled,0.0017471051855330745,0.004476930545469429,0.6963544930876124
0,1. DDD pooled,Dec_US_chn,-0.24599037544532198,0.06973375883388222,0.00041940058142997394
0,1. DDD pooled,IPxUS_chn,-0.11160791494364805,0.048058105751201736,0.020213903568403024
0,2. + dev/adv split,DDD_dev,0.007271486229508603,0.013464060799376558,0.5891512729618225
0,2. + dev/adv split,DDD_adv,0.0006915686462740613,0.004514534559790605,0.878250697262573
0,2. + dev/adv split,Dec_US_chn,-0.24560287561133515,0.06975632111795842,0.0004301348955964013
0,2. + dev/adv split,IPxUS_chn,-0.11148148073219705,0.04804335199142915,0.020317351451822674
0,3. + IPxUS,DDD_dev,0.018531518114438796,0.01642949832843295,0.25934449412470917
0,3. + IPxUS,DDD_adv,-0.009966498109429506,0.00967479762449527,0.3029393379938885
0,3. + IPxUS,IPxUS_dev,-0.012037038431249354,0.015129509414798382,0.42626453812552967
0,3. + IPxUS,IPxUS_adv,0.010840566599150721,0.01071649028869887,0.3117398341601447
0,3. + IPxUS,Dec_US_chn,-0.24688325355362717,0.06964624339181576,0.0003928843437706053
0,3. + IPxUS,IPxUS_chn,-0.11077697584674576,0.047861469867464215,0.020638475308796922
0,4. + Adv_Dec_US (full),DDD_dev,0.013077369921758177,0.015212717356504587,0.3899907960117961
0,4. + Adv_Dec_US (full),DDD_adv,-0.00837509263655062,0.009408998896249278,0.373404049044312
0,4. + Adv_Dec_US (full),IPxUS_dev,-0.009643803989914391,0.014543435237293963,0.5072642171711885
0,4. + Adv_Dec_US (full),IPxUS_adv,0.010029640776731949,0.010578763314235098,0.3430826249642316
0,4. + Adv_Dec_US (full),Adv_Dec_US,-0.05111145434387445,0.060499573464426935,0.3982094569126011
0,4. + Adv_Dec_US (full),Dec_US_chn,-0.2769270462276384,0.08013017453563427,0.0005483273375497255
0,4. + Adv_Dec_US (full),IPxUS_chn,-0.11115521119939553,0.04790995371071337,0.020336227408557006
3,1. DDD pooled,DDD_pooled,0.004910235827031414,0.0056106282531756015,0.3814831302768349
3,1. DDD pooled,Dec_US_chn,-0.19500677520767126,0.06989820410603062,0.005272950591966419
3,1. DDD pooled,IPxUS_chn,-0.15711140971561724,0.04623069964654145,0.0006777587775987914
3,2. + dev/adv split,DDD_dev,0.020755875339636222,0.01203059182830462,0.0844809792199046
3,2. + dev/adv split,DDD_adv,0.0024940857476445336,0.006089905637161577,0.6821403109898736
3,2. + dev/adv split,Dec_US_chn,-0.1934414681941738,0.0699246759614331,0.005667437983421619
3,2. + dev/adv split,IPxUS_chn,-0.1566019416060405,0.046117826522167386,0.0006845530516599307
3,3. + IPxUS,DDD_dev,0.03965806329903391,0.015386237119765883,0.009951718677293275
3,3. + IPxUS,DDD_adv,-0.0014718293893174993,0.010448251089971128,0.8879738325604101
3,3. + IPxUS,IPxUS_dev,-0.01949504721665938,0.017258288680384867,0.2586427512876006
3,3. + IPxUS,IPxUS_adv,0.004056648448625179,0.009076817550419947,0.6549298677497069
3,3. + IPxUS,Dec_US_chn,-0.19208117464762228,0.06998085584661408,0.006055379216367562
3,3. + IPxUS,IPxUS_chn,-0.15693755804716322,0.046174451313204364,0.0006768308515543442
3,4. + Adv_Dec_US (full),DDD_dev,0.03347744862835331,0.013837586902219026,0.015549869858241028
3,4. + Adv_Dec_US (full),DDD_adv,-0.00015534671117470135,0.01040811958348731,0.9880915914218047
3,4. + Adv_Dec_US (full),IPxUS_dev,-0.016186029677345632,0.016424295435555267,0.32438192344027295
3,4. + Adv_Dec_US (full),IPxUS_adv,0.0032340298678673993,0.009041056104655075,0.7205641824741615
3,4. + Adv_Dec_US (full),Adv_Dec_US,-0.05398992259367303,0.06597395689248985,0.4131561955024572
3,4. + Adv_Dec_US (full),Dec_US_chn,-0.22411357196716702,0.08267046526308384,0.006709545592050059
3,4. + Adv_Dec_US (full),IPxUS_chn,-0.15722726125596181,0.04627252024081095,0.0006791669144268209
