country,sector,att,lnsize
Argentina,1020,-0.35950686593758235,12.139921
Argentina,1030,0.7228618151943313,12.25832
Argentina,1040,-0.06519805975874059,11.487898
Argentina,1061,0.359960501947712,9.265742
Argentina,1079,0.31618669398445676,8.114257
Argentina,1080,-2.2422306067651787,9.498466
Argentina,1101,-2.381740306401706,5.0631223
Argentina,1311,1.1969716305877154,5.2253795
Argentina,1312,1.3429662290266318,6.7898927
Argentina,1392,-0.6815298302202198,5.4269276
Argentina,1399,2.7183271230155666,5.600501
Argentina,1410,0.5229663473951945,6.795207
Argentina,1512,-2.5378920966448115,8.787514
Argentina,1520,-2.891509261220779,8.852947
Argentina,1621,-1.246474848605261,9.125806
Argentina,1629,-0.6433023740409328,7.688195
Argentina,1701,-2.338057800868248,9.119376
Argentina,1709,0.10060355593061081,7.9034476
Argentina,1920,-1.6918492187681256,10.754871
Argentina,2011,-0.7546591363983269,11.97748
Argentina,2013,-1.3505380332039034,9.984743
Argentina,2022,0.5717436142403238,6.120551
Argentina,2023,2.405168861557063,8.131714
Argentina,2029,-4.562873517801945,13.760151
Argentina,2100,1.1263909188420262,10.9524355
Argentina,2211,-1.5027386714856772,9.995211
Argentina,2219,0.6314017467768114,9.395114
Argentina,2220,-0.9525238041428226,9.25374
Argentina,2310,0.2729986294479608,6.472849
Argentina,2391,0.9831963760795114,6.06833
Argentina,2392,-0.2917074863249101,8.844226
Argentina,2393,-0.2598262143414036,4.1021476
Argentina,2399,-0.7937176971247453,6.6466184
Argentina,2410,1.3622076342376197,11.8967285
Argentina,2420,-0.28148910468093413,13.1433115
Argentina,2431,2.2421294963480625,8.1276865
Argentina,2511,0.8649952865626125,6.607574
Argentina,2512,2.5086721520381317,5.1357846
Argentina,2593,-1.6321379388817554,8.716559
Argentina,2599,-0.9529655985299004,9.617612
Argentina,2610,-0.3036298411620089,6.476079
Argentina,2620,-0.29125072755792075,8.501296
Argentina,2630,0.08980577161569034,8.033697
Argentina,2640,-0.5686647507875955,5.972127
Argentina,2651,-0.3751903789511434,9.049796
Argentina,2670,1.751352019334343,5.6798825
Argentina,2710,0.8855168584455819,7.9527373
Argentina,2732,-0.5851405242323777,6.825368
Argentina,2740,1.2366372716435845,5.3556833
Argentina,2750,2.0555741454376353,6.452364
Argentina,2790,-0.5957687011630889,7.5421767
Argentina,2813,0.6679019558965289,10.418947
Argentina,2814,-0.34339011460277746,9.402808
Argentina,2816,-0.5533187039777585,8.725709
Argentina,2818,1.7880557462601,5.1302104
Argentina,2819,1.3858089378552505,8.706061
Argentina,2821,-0.1687264281163278,8.485297
Argentina,2822,-0.6387352981212301,7.699718
Argentina,2824,-0.00032409282545080894,7.8948402
Argentina,2825,-0.4584093543439914,7.35887
Argentina,2826,3.3523491590240613,4.84751
Argentina,2829,0.4262598043224775,8.163566
Argentina,2910,-8.38255476997895,11.728206
Argentina,2920,2.834329272242086,6.0198617
Argentina,2930,1.3260837005493968,10.338075
Argentina,3012,-0.7020429265279551,7.5903087
Argentina,3030,-3.7600414806368683,12.504489
Argentina,3091,0.9718345874230983,6.2159524
