outcome,spec,term,N,coef,se,p
dlog_us,1. treatment only,HasPolicy,60,0.3138307024507183,0.15850852556515804,0.04771499850357925
dlog_us,1. treatment only,AlignDev_z,60,-0.07627027534662342,0.06051140844378192,0.20751499528404926
dlog_us,2. + Exposure,HasPolicy,60,0.3168372168594464,0.153030268836642,0.03841285466085124
dlog_us,2. + Exposure,AlignDev_z,60,-0.10986814046085205,0.055124519368697306,0.04625156868440927
dlog_us,3. + capability,HasPolicy,60,0.0412035139156596,0.22588682158059958,0.8552627197726608
dlog_us,3. + capability,AlignDev_z,60,-0.07619301361876246,0.04955463295483078,0.12415726018669611
dshare_us,1. treatment only,HasPolicy,60,0.001791248086079072,0.0009006958729930221,0.04673013214246143
dshare_us,1. treatment only,AlignDev_z,60,1.1018100941186706e-05,0.0003705270664712422,0.9762773680985308
dshare_us,2. + Exposure,HasPolicy,60,0.0018144547735234507,0.0008651357432522975,0.0359664563593428
dshare_us,2. + Exposure,AlignDev_z,60,-0.000248317145296389,0.0004037951337771396,0.5385822984101996
dshare_us,3. + capability,HasPolicy,60,-0.00031445395229677726,0.000512688747254422,0.5396496982728358
dshare_us,3. + capability,AlignDev_z,60,-0.0002673713802658411,0.00031428131760076423,0.39491434230050815
