outcome,r,post,post_se,pre,pre_se
lnS,1,0.19583019476419491,0.5678358826075741,-1.5654302349348886e-15,1.2494632302257316e-15
lnS,2,0.22912454222829082,0.7280779900399834,-4.333496945124244e-15,2.8942994950024196e-15
lnD,2,0.2353044541783416,0.5867602140600949,1.1023379179161711e-15,1.5703494575981835e-15
lnX,2,0.23367617281263106,0.72015988890913,3.8510861166685117e-16,3.233156659393315e-15
