Coefficient,Estimate,Std. Error,t value,Pr(>|t|),2.5%,97.5%
DDD_frac_policies_dev_pre,0.08993850423162844,0.01891686518923748,4.7544084779331115,1.9902827563811343e-06,0.05286212976032349,0.12701487870293338
DDD_frac_policies_dev_post,0.040294984178124924,0.010297405469459085,3.913120086184349,9.111119624916064e-05,0.020112440323779346,0.0604775280324705
DDD_frac_policies_adv_pre,-0.11467573482610491,0.028541987210291567,-4.017790842004006,5.874630488511556e-05,-0.17061700180547923,-0.05873446784673057
DDD_frac_policies_adv_post,0.0049233655405831155,0.019764645353705198,0.24909961461363395,0.8032837275567875,-0.033814627519885995,0.04366135860105223
frac_policies_x_US_dev_pre,-0.08440228808009673,0.018731938383854757,-4.505795735098291,6.612467401634348e-06,-0.12111621267307549,-0.04768836348711797
frac_policies_x_US_dev_post,-0.05298066333591803,0.010172534892237522,-5.208206597192074,1.9067455725441107e-07,-0.07291846535618061,-0.03304286131565544
frac_policies_x_US_adv_pre,0.11151986493340794,0.028165320473474816,3.959474384054452,7.511490040723601e-05,0.05631685119236867,0.1667228786744472
frac_policies_x_US_adv_post,0.005917927854667816,0.017302440908660125,0.34202849678312186,0.7323294467983767,-0.027994233170938524,0.03983008888027416
Adv_x_target_x_US_pre,-0.41126452100856303,0.044365765444104394,-9.269861950803206,0.0,-0.49821982342555937,-0.3243092185915667
Adv_x_target_x_US_post,-0.2370528607264847,0.04667639613026511,-5.078645319251178,3.8013561298733123e-07,-0.3285369160699291,-0.14556880538304032
