measure,timing,b_int,p_int,b_ip,p_ip,N
n_policies,flow,0.04736292346181047,0.23570609018329025,-0.01530735682864631,0.6920889904038952,13637
n_policies,stock,0.04051115142627893,0.3754010268467839,-0.019382255823572496,0.6576526604023016,13637
n_policies,lag,-0.015922394668977997,0.8180600949190925,-0.055112029231743624,0.3458548181387795,13637
frac_policies,flow,0.01716898311295259,0.8064463015000661,0.010312569488216431,0.8601426753362227,13637
frac_policies,stock,0.036757615136221417,0.6010813038849374,0.027848313208727212,0.6251906863653773,13637
frac_policies,lag,0.02948708035334093,0.6074733643775523,0.02256874216175893,0.6458830761398116,13637
share_n_policies,flow,0.31137436713554234,0.018672389324004824,0.3307851955696997,0.017444884514187527,13637
share_n_policies,stock,0.35108947916219596,0.01612291007165378,0.45480518683362336,0.007005346881963989,13637
share_n_policies,lag,-0.06061354420351104,0.5662017056514005,0.26773427209314904,0.02421992725076766,13637
share_frac_policies,flow,-0.016058423764284832,0.832898146797046,0.060919465670099184,0.34096493476989664,13637
share_frac_policies,stock,0.15999846066810786,0.021598739740330244,0.23443505250747884,0.0004537393153756632,13637
share_frac_policies,lag,0.026961080591877993,0.653697708222908,0.1300008327326089,0.08232591651616425,13637
