band,units,high,med,valshare,ols,ols_se,ols_p,olsw,olsw_se,olsw_p
80-84th pct,167,39,24944.867,0.009651431,-0.20979907996780314,0.41849224127401885,0.6171377987028874,-0.24594478620851093,0.41323338102305274,0.5529401930440712
84-88th,166,45,44944.855,0.017106865,-0.18678153464095873,0.6195729235338432,0.763702830381237,-0.21140370667859165,0.6462939973082568,0.7442959862161933
88-92nd,166,47,88506.67,0.033817034,0.32489371195619765,0.5564200539984813,0.5604722454667765,0.18209653366495668,0.5463881727198435,0.7395567660433493
92-96th,166,56,213691.9,0.085755795,0.01148594918814704,0.275085694832193,0.9667677861008888,0.057494935597647547,0.27560538313155314,0.8351224445305396
top 4%,166,64,980703.6,0.8354476,0.03865111544936476,0.21156317568720162,0.855360574802003,0.5506078823364225,0.29748591838859345,0.06675430518100134
