measure,spec,term,N,coef,se,p
share_n_policies,B. between (no delta_ict),TD,402678,0.010904288248140012,0.0028730960657920835,0.0001474594977877164
share_n_policies,B. between (no delta_ict),T,402678,-0.011489268853517628,0.007813216628561397,0.14142867871364917
share_n_policies,W. within  (+ delta_ict),TD,349023,0.006803087612400134,0.0047632428886154755,0.15322076202566293
share_n_policies,W. within  (+ delta_ict),T,349023,-0.013480329435170125,0.0038884868457954858,0.0005268330974628199
share_frac_policies,B. between (no delta_ict),TD,402678,-0.011163341425370428,0.019223240033213646,0.5614284271089773
share_frac_policies,B. between (no delta_ict),T,402678,-0.00270101710513738,0.0059858822850603274,0.6518228939576292
share_frac_policies,W. within  (+ delta_ict),TD,349023,-0.002811852275358394,0.008604446218616982,0.7438262578800603
share_frac_policies,W. within  (+ delta_ict),T,349023,-0.004071389291471643,0.004712226107693093,0.38758486719233387
