measure,spec,term,N,treated_obs,sd,tol,coef,se,p
n_policies,with,DDD_dev,16886001,8858,6.551646709442139,1e-06,0.07815760863125296,0.04669469445534893,0.09416979004213344
n_policies,with,DDD_adv,16886001,8858,6.551646709442139,1e-06,-0.018648295258276534,0.08472074455165428,0.8257816980295931
n_policies,with,IPxUS_dev,16886001,8858,6.551646709442139,1e-06,-0.05910059173392296,0.04725911584864081,0.21109326132767592
n_policies,with,IPxUS_adv,16886001,8858,6.551646709442139,1e-06,0.030356405768032325,0.04155091030485811,0.465033647950283
n_policies,with,IPxUS_chn,16886001,8858,6.551646709442139,1e-06,-0.019332551141368687,0.003635293342106904,1.0490437318821932e-07
n_policies,with,Dec_US_chn,16886001,8858,6.551646709442139,1e-06,-0.2489764676764133,0.09087083056396301,0.006145895224655806
n_policies,with,Adv_Dec_US,16886001,8858,6.551646709442139,1e-06,-0.11157820998550909,0.08204494726317926,0.17384118009919902
n_policies,without,DDD_dev,16886001,8858,6.551646709442139,1e-06,0.030670380273455183,0.034392440354335294,0.3725125812618688
n_policies,without,DDD_adv,16886001,8858,6.551646709442139,1e-06,0.00710137635566899,0.08579665530297899,0.9340345424476375
n_policies,without,IPxUS_chn,16886001,8858,6.551646709442139,1e-06,-0.019318758682671137,0.0036422662693072014,1.1326190274552062e-07
n_policies,without,Dec_US_chn,16886001,8858,6.551646709442139,1e-06,-0.2607757842202893,0.09037886286000744,0.003909631676554559
n_policies,without,Adv_Dec_US,16886001,8858,6.551646709442139,1e-06,-0.13371643751336743,0.08166239732985171,0.10154070968495521
n_sub,with,DDD_dev,16886001,847,98143.265625,1e-06,0.0005176819570712546,0.02065438596690388,0.9800038984961592
n_sub,with,DDD_adv,16886001,847,98143.265625,1e-06,0.028423751965554602,0.013487727955668449,0.03508475768033814
n_sub,with,IPxUS_dev,16886001,847,98143.265625,1e-06,-0.0038175132184001355,0.013875478651626694,0.7832189785959669
n_sub,with,IPxUS_adv,16886001,847,98143.265625,1e-06,0.003035287445951845,0.010014562605335954,0.7618232787046479
n_sub,with,IPxUS_chn,16886001,847,98143.265625,1e-06,-2.3547038472615753,0.6599629837049064,0.00035980818557179717
n_sub,with,Dec_US_chn,16886001,847,98143.265625,1e-06,-0.2954988972820808,0.07997217102667505,0.00021986811743768264
n_sub,with,Adv_Dec_US,16886001,847,98143.265625,1e-06,-0.15123138517047083,0.06910914107669568,0.028647913058950314
n_sub,without,DDD_dev,16886001,847,98143.265625,1e-06,-0.003291813198932738,0.017034189978906978,0.8467652058505444
n_sub,without,DDD_adv,16886001,847,98143.265625,1e-06,0.03145061752987604,0.009426521222570027,0.0008487185824119781
n_sub,without,IPxUS_chn,16886001,847,98143.265625,1e-06,-2.3547954353104417,0.6599514250252676,0.00035953197040572427
n_sub,without,Dec_US_chn,16886001,847,98143.265625,1e-06,-0.29559787188590025,0.07996201455462643,0.0002183955406325211
n_sub,without,Adv_Dec_US,16886001,847,98143.265625,1e-06,-0.1515249685674209,0.06910004200646734,0.028319292238859983
frac_policies,with,DDD_dev,16886001,8858,1.4106706380844116,1e-06,0.014036240000824696,0.0184726617085285,0.44735111243739256
frac_policies,with,DDD_adv,16886001,8858,1.4106706380844116,1e-06,-0.01573930098867266,0.04693522277581052,0.7373679259415598
