i_int,rows,mass,imports,mass_pct,rows_pct,cum_mass,name
484,112,533533291.45001936,2.5487867e+08,26.24659108809463,1.2643937683449988,26.24659108809463,Mexico
699,655,337104718.91071177,3.710283e+08,16.58350069790422,7.394445698803342,42.830091785998846,India
704,189,180963472.0108216,1.9832045e+08,8.902301558055324,2.1336644840821855,51.732393344054174,Vietnam
710,153,130115761.6223765,4.4870116e+07,6.400903643963956,1.7272522013998646,58.13329698801813,S.Africa
50,64,119668460.89661913,1.8991876e+07,5.8869600259788815,0.7225107247685708,64.02025701399701,Bangladesh
360,610,87455496.65823427,1.5857971e+08,4.3022782195212494,6.8864303454504405,68.32253523351827,Indonesia
76,479,86933861.93328477,1.3373005e+08,4.276616965495488,5.407541205689772,72.59915219901376,Brazil
784,94,76778606.37082022,5.594271e+06,3.777040192284748,1.0611876270038383,76.3761923912985,784
764,82,74507846.81596726,7.280573e+07,3.665332641039668,0.9257168661097314,80.04152503233817,Thailand
458,112,74266248.5623126,5.2756344e+07,3.653447477221609,1.2643937683449988,83.69497250955978,Malaysia
643,514,55252325.79225531,5.0605216e+07,2.7180781873877886,5.802664258297584,86.41305069694756,Russia
792,482,44294984.660712175,6.4448348e+07,2.1790436853218305,5.441408895913299,88.5920943822694,Turkey
152,26,36292881.42182969,1.5591224e+06,1.7853889032840329,0.2935199819372319,90.37748328555342,Chile
604,21,23134059.490013476,1.77222e+06,1.1380549430979967,0.23707383156468728,91.51553822865142,Peru
804,121,22276460.772185616,4.634465e+06,1.0958663051531596,1.3659968390155792,92.61140453380459,804
586,358,18323499.609972004,2.4620432e+07,0.901404671972282,4.041544366674193,93.51280920577688,Pakistan
818,202,17493096.45269517,7.2068265e+06,0.8605538901062182,2.2804244750508014,94.3733630958831,Egypt
608,66,15886226.509871097,1.1351266e+07,0.7815056676299187,0.7450891849175886,95.15486876351301,Philippines
32,607,15698393.270249391,1.9777738e+07,0.7722654153118216,6.852562655226913,95.92713417882483,Argentina
682,184,15150857.182528306,8.3208795e+06,0.7453299718621101,2.077218333709641,96.67246415068693,682
616,559,14858726.298632827,5.35753e+07,0.7309589101557825,6.310679611650485,97.40342306084271,616
634,49,10836226.604337659,1.2015748e+06,0.533076404377713,0.553172273650937,97.93649946522042,634
642,532,10813324.172586573,1.744835e+07,0.5319497441097847,6.005870399638745,98.4684492093302,642
348,525,9376152.716714688,2.3846326e+07,0.4612496544804487,5.926845789117182,98.92969886381066,348
170,273,8424353.124622291,9.377571e+06,0.4144269067872907,3.0819598103409347,99.34412577059794,Colombia
404,42,2964476.7273638197,1.3236214e+06,0.14583421447203176,0.47414766312937456,99.48995998506997,Kenya
100,505,2654887.8861822984,5.2638045e+06,0.13060432750875564,5.701061187627004,99.62056431257872,100
688,18,1549594.6118275844,107673.44,0.07623062474399199,0.20320614134116052,99.69679493732271,688
504,77,1510039.1163624737,1.0313198e+06,0.07428473508462666,0.8692707157371867,99.77107967240734,Morocco
218,339,999841.8012238049,8.435052e+06,0.049186132018461975,3.827048995258523,99.8202658044258,218
191,492,869898.0980704913,2.0931428e+06,0.042793692604103005,5.554301196658388,99.86305949702991,191
788,105,854282.721958602,685842.3,0.04202551112777622,1.1853691578234364,99.90508500815768,Tunisia
12,32,783419.6855169188,82129.91,0.03853948097642279,0.3612553623842854,99.94362448913411,12
566,53,579043.1235455943,675237.75,0.02848539787417931,0.5983291939489727,99.97210988700829,566
68,59,370914.81546117587,140758.56,0.018246751694664488,0.6660645743960262,99.99035663870295,68
524,50,104305.75421541903,72936.625,0.0051312083480059036,0.5644615037254459,99.99548784705095,524
508,12,51234.71545777314,9566.687,0.002520436208358004,0.13547076089410703,99.99800828325931,508
288,5,40487.05543225324,14267.47,0.001991716740680499,0.05644615037254459,99.99999999999999,Ghana
