outcome,col,term,N,coef,se,p
ln_us,B. between (no delta_ict),TD_dev,262500,0.024432774521245943,0.015277131850299339,0.11229806584526103
ln_us,B. between (no delta_ict),TD_adv,262500,0.018415978891165054,0.011397139568906263,0.10866993284557958
ln_us,B. between (no delta_ict),T_dev,262500,0.005797724090771,0.00825898711485207,0.4840011336003247
ln_us,B. between (no delta_ict),T_adv,262500,-0.005517097926950193,0.005462674105413386,0.314479802999422
ln_us,B. between (no delta_ict),T_chn,262500,0.027165896946120933,0.003788334775813262,5.912292877496839e-11
ln_us,B. between (no delta_ict),Dec_adv,262500,-0.036786637445505546,0.08618807338991001,0.6702518915494373
ln_us,B. between (no delta_ict),Dec_chn,262500,-0.40144950279797226,0.05624771844170711,7.037037619284092e-11
ln_us,W. within  (+ delta_ict),TD_dev,240856,-0.01248227948410309,0.008220709091483347,0.1315452221164395
ln_us,W. within  (+ delta_ict),TD_adv,240856,0.0005800658058165354,0.006776668313698022,0.9319290455469122
ln_us,W. within  (+ delta_ict),T_dev,240856,0.007568979010532434,0.005818567208954749,0.1958083442107701
ln_us,W. within  (+ delta_ict),T_adv,240856,-0.0063998931377599565,0.007563637664368206,0.3991590316417699
ln_us,W. within  (+ delta_ict),T_chn,240856,0.010880416879994368,0.0025531538675903575,4.062922139924652e-05
ln_us,W. within  (+ delta_ict),Dec_adv,240856,-0.12252040313249327,0.06304113338198382,0.0542971944238424
ln_us,W. within  (+ delta_ict),Dec_chn,240856,-0.31826948905010016,0.048423993963763866,1.3445673463508001e-09
ln_tot,B. between (no delta_ict),TD_dev,451025,0.0035575216098600055,0.009902649328030002,0.7200194871174874
ln_tot,B. between (no delta_ict),TD_adv,451025,0.03539066894442572,0.011744258643833433,0.0031324448863152554
ln_tot,B. between (no delta_ict),T_dev,451025,0.0015299220658191307,0.005801983942651089,0.7924569149472509
ln_tot,B. between (no delta_ict),T_adv,451025,-0.03803802749076459,0.012436751760736392,0.002725912075603354
ln_tot,B. between (no delta_ict),T_chn,451025,0.0168747533480122,0.002874870248341379,3.734335018990009e-08
ln_tot,B. between (no delta_ict),Dec_adv,451025,-0.18810243373945149,0.058037964839565845,0.0015295678194926499
ln_tot,B. between (no delta_ict),Dec_chn,451025,0.10582698787901426,0.047008416599048954,0.026131362959444848
ln_tot,W. within  (+ delta_ict),TD_dev,431545,-0.008331060276331669,0.004914624456620228,0.09263899313390711
ln_tot,W. within  (+ delta_ict),TD_adv,431545,-0.0040755186868417954,0.004975280329811476,0.41432268494209534
ln_tot,W. within  (+ delta_ict),T_dev,431545,0.002722532924902243,0.00188386605153133,0.15101260132393945
ln_tot,W. within  (+ delta_ict),T_adv,431545,-0.002706147391462139,0.0032064904297849717,0.40037144902057964
ln_tot,W. within  (+ delta_ict),T_chn,431545,0.00823626634518715,0.0009211938897573194,5.551115123125783e-15
ln_tot,W. within  (+ delta_ict),Dec_adv,431545,-0.07725308608312133,0.03453760543183707,0.027147705749051454
ln_tot,W. within  (+ delta_ict),Dec_chn,431545,-0.230670031068027,0.02068707390473529,0.0
