dec,measure,b_int,se_int,p_int,b_ip,se_ip,p_ip,N
Dec_pre,n_policies,-0.04764680838360451,0.054462795714578606,0.3816552122922763,-0.0704945914181799,0.04778845536323968,0.1401753056402216,23400
Dec_pre,frac_policies,0.0021957139133280943,0.05753538480147413,0.9695578455129495,0.021370785050843756,0.045800392067260914,0.6407810543014356,23400
Dec_pre,share_n_policies,0.03898388454775022,0.10352789390615405,0.7065047767358126,0.015776161100467197,0.09628595154968528,0.8698516171551214,23400
Dec_pre,share_frac_policies,0.27998367506003347,0.13520954118170656,0.03838319007894765,0.36981596605170025,0.10124144435549211,0.00025938410817878655,23400
Dec_realised,n_policies,-0.1116007184126267,0.0620355564004394,0.07202186190648052,-0.08493648670319391,0.0435455633718087,0.05111418718028349,23400
Dec_realised,frac_policies,-0.0528534105735725,0.04644557022068328,0.2551353019002254,-0.015470241999472127,0.038984544430383926,0.6914927274687304,23400
Dec_realised,share_n_policies,-0.09178722827635381,0.1297283875213683,0.47923477123465597,-0.022098263548247593,0.07708962909843585,0.7743751467486719,23400
Dec_realised,share_frac_policies,0.1877670551660273,0.15599760412470198,0.22872354938034112,0.25049692599818457,0.07906429706088872,0.0015334979561536666,23400
