measure,lag,term,coef,se,p,sig
share_frac_policies,3,2011,0.3328293221740265,0.4475701132158624,0.4570966184310761,
share_frac_policies,3,2012,0.30292865534336877,0.23332991532084763,0.19418952748479712,
share_frac_policies,3,2013,-0.17850888033224496,0.08338595071057768,0.032293810846854676,**
share_frac_policies,3,2014,0.019789234929487004,0.04821613499671181,0.6814922674488424,
share_frac_policies,3,2015,-0.1300804775907248,0.07267624015136011,0.07347601709283103,*
share_frac_policies,3,2016,0.005636654839607131,0.010440694453986784,0.589284235899953,
share_frac_policies,3,POST-2018 (pooled),0.024172463603837954,0.012320249818858918,0.049761223098515606,**
share_frac_policies,1,2009,-0.5525443693008972,0.513811105297614,0.28220273101465354,
share_frac_policies,1,2010,0.5742110236800514,0.22729301372568206,0.011527001448157437,**
share_frac_policies,1,2011,-0.1499514301506131,0.0949092335309006,0.11411931491572358,
share_frac_policies,1,2012,0.003153739695060015,0.05903506572747442,0.9573961030668487,
share_frac_policies,1,2013,0.09402106598437696,0.21292647757551264,0.6588033838203349,
share_frac_policies,1,2014,-0.04726060721006736,0.014175933710277826,0.0008564912911095401,***
share_frac_policies,1,2015,0.26692579513781167,0.12955099517545773,0.0393611097721045,**
share_frac_policies,1,2016,0.12429579812977704,0.041463410420328764,0.002720052282701335,***
share_frac_policies,1,POST-2018 (pooled),0.008565819558800019,0.013254032607206843,0.5180978734701442,
share_n_policies,1,2009,-0.0306576692622588,0.20610644304464434,0.88175344854334,
share_n_policies,1,2010,-0.05358677553756725,0.10641875773997221,0.6145802113873313,
share_n_policies,1,2011,-0.03769277947126434,0.09137970137160503,0.6799837856131274,
share_n_policies,1,2012,0.010036365903323182,0.08628710713990011,0.9074039906454598,
share_n_policies,1,2013,-0.0027461244313735623,0.0828120715395004,0.9735462627547151,
share_n_policies,1,2014,-0.04311700025607674,0.017099350488474826,0.011683648562584636,**
share_n_policies,1,2015,0.09044202435157077,0.07781976363488853,0.2451547823325395,
share_n_policies,1,2016,0.0485123749967523,0.06224962828168458,0.4357912864377589,
share_n_policies,1,POST-2018 (pooled),0.053473563632920176,0.027014924457012587,0.0477700633547915,**
