r,perdim,hull,mahal,inrange
1,99.63065558633426,99.63065558633426,55.82546108861899,99.96922129886119
2,98.24561403508771,97.04524469067405,49.527665317139004,99.69734277213502
3,92.24376731301939,84.67220683287165,65.40710751237067,98.06094182825484
4,92.98245614035088,83.10249307479224,59.10931174089069,98.10198009643993
