outcome,r,att,se_unit,se_block,t_block
lnS,1,0.19583019476419491,0.06816508096094549,0.1469535139485924,1.332599605836582
lnS,2,0.22912454222829082,0.10066391850501927,0.2513525979357541,0.9115662384633686
lnD,2,0.2353044541783416,0.08568024893127828,0.23118532887910226,1.0178174165255678
lnX,2,0.23367617281263106,0.09660916195822729,0.2562643241159052,0.9118560440232882
