measure,spec,N,IPxDec,IPxDec_se,IPxDec_p,IPz,IPz_se,IPz_p
n_policies,1. a_k only,12117,-0.06656990369115369,0.07619358162058933,0.3837001569278411,-0.10213557501515011,0.07077860839259731,0.15112551581633737
n_policies,2. + capability levels,12117,-0.14431752246006938,0.09115106396728372,0.1154925677435703,-0.37355133396450757,0.15792647038004878,0.01930963392226892
n_policies,3. + capability x Dec  [REC],12117,-0.44217905072177754,0.17286390383922895,0.011533968557646546,-0.4549200642361057,0.15688669588269055,0.0043049618273607315
n_policies,4. + country FE,12117,-0.10563144778040866,0.09803744357363398,0.28302777617136177,-0.019019558270995354,0.07451998169133615,0.7989016320553834
frac_policies,1. a_k only,12117,0.002895897246423301,0.08174998931177697,0.9717895203534073,0.029769594894495877,0.07055843279333329,0.6736999690800525
frac_policies,2. + capability levels,12117,-0.09079697326061609,0.08147594118330007,0.2669130892252505,-0.125133374102005,0.09723985998451778,0.20015474770014574
frac_policies,3. + capability x Dec  [REC],12117,-0.22689787874377665,0.15639599620869982,0.14895428076685135,-0.17133999259676708,0.13551073354623916,0.2080734757064453
frac_policies,4. + country FE,12117,-0.007208608813570182,0.12755277284117555,0.9550079976034649,0.06415747138334675,0.10722228804193246,0.550514728162085
share_n_policies,1. a_k only,12117,0.05182408403413557,0.13878608642766077,0.7093777917762703,0.024967199303068895,0.13505271616379905,0.8535840731036477
share_n_policies,2. + capability levels,12117,0.056856881275638926,0.11986808947812348,0.6359645727028718,-0.07456772259976162,0.1409231669187587,0.5975028457890001
share_n_policies,3. + capability x Dec  [REC],12117,-0.034986242521123506,0.09729583006766426,0.7196691282626932,-0.0852995604924645,0.11901776191568553,0.4746911259236233
share_n_policies,4. + country FE,12117,0.3080806441037161,0.07404396042036171,5.356758616792412e-05,0.32632770208269996,0.09315491713065144,0.0006085299720615112
share_frac_policies,1. a_k only,12117,0.3916888262610677,0.18976452364802257,0.040756344821732515,0.5410610376930208,0.15242687415066147,0.0005174417989783908
share_frac_policies,2. + capability levels,12117,0.29895103952298135,0.15557859787761322,0.05658516859310314,0.40310523194481684,0.11396311082025694,0.0005405151608541825
share_frac_policies,3. + capability x Dec  [REC],12117,0.10941595617276903,0.15112161093310536,0.47019276660372755,0.2547184818990205,0.12526596530498932,0.043796895288976234
share_frac_policies,4. + country FE,12117,0.27712483202627347,0.17268046899017184,0.11066038697195135,0.38378061747668946,0.1394012067643732,0.006643732085836573
