measure,spec,path,wald,df,p_joint,slope,slope_se,slope_t,p_slope
share_n_policies,1. a_ik + a_kt,IPxDec,137.89553571513983,13,0.0,-0.019392360657567262,0.0077181773489990915,-2.5125570171152005,0.01198597347100816
share_n_policies,1. a_ik + a_kt,IP,101.17583362624181,13,9.992007221626409e-16,0.003352787191474548,0.008509292273183222,0.39401481155380635,0.693570103943921
share_n_policies,2. + capability x year,IPxDec,138.18622791442135,13,0.0,-0.026470850611138963,0.006798794082012089,-3.893462618786208,9.882343650580161e-05
share_n_policies,2. + capability x year,IP,90.43594370184093,13,1.1535217225855376e-13,0.022651205979490358,0.004386150255973282,5.164256730293905,2.413961930347597e-07
share_n_policies,3. + a_it,IPxDec,333.9799684541681,13,0.0,-0.0894850898824992,0.0052229563401506845,-17.133034253914044,0.0
share_n_policies,3. + a_it,IP,340.1450881044488,13,0.0,0.0010319814702918371,0.005601472497974515,0.18423396181361246,0.8538299177855269
share_frac_policies,1. a_ik + a_kt,IPxDec,93.76327887170896,13,2.653433028854124e-14,-0.009978194032580833,0.006713860088748646,-1.486208217133194,0.1372240547276884
share_frac_policies,1. a_ik + a_kt,IP,317.9241790980953,13,0.0,0.018948927623248988,0.0048261448206386465,3.926307296502028,8.62599397735142e-05
share_frac_policies,2. + capability x year,IPxDec,180.953598323694,13,0.0,-0.025896862457268785,0.005029288591253352,-5.149209870816941,2.6158605814785574e-07
share_frac_policies,2. + capability x year,IP,175.63785709150247,13,0.0,0.0005085112386357043,0.004840956591447281,0.10504354439659967,0.9163412563939204
share_frac_policies,3. + a_it,IPxDec,167.4017816437095,13,0.0,-0.02606285343288852,0.006288551696801572,-4.144492196214969,3.405675532341945e-05
share_frac_policies,3. + a_it,IP,528.6474432414585,13,0.0,0.03187029043103315,0.005877498262262838,5.422424475335035,5.879605891045969e-08
n_policies,1. a_ik + a_kt,IPxDec,408.7825948349809,13,0.0,0.0015604293915531403,0.004840178638095781,0.32239086782281307,0.7471566016471234
n_policies,1. a_ik + a_kt,IP,1342.5748740910856,13,0.0,0.02068979005880428,0.004557896169696288,4.53932895539894,5.643353681028529e-06
n_policies,2. + capability x year,IPxDec,1178.2149949077495,13,0.0,0.07992526615520504,0.0036017838498206187,22.19046713732852,0.0
n_policies,2. + capability x year,IP,153.04490997949964,13,0.0,0.02746734529019911,0.006114242316137138,4.492354713797548,7.043997139799529e-06
n_policies,3. + a_it,IPxDec,977.6178040002919,13,0.0,-0.028256366636246668,0.004895566766584768,-5.771827447868471,7.84163955991346e-09
n_policies,3. + a_it,IP,221.16311428150834,13,0.0,0.026230508773901037,0.005783498941721974,4.535404784926128,5.749311141833857e-06
frac_policies,1. a_ik + a_kt,IPxDec,112.63696426583618,13,0.0,-0.03678505896743009,0.004902354876245128,-7.503548783397124,6.217248937900877e-14
frac_policies,1. a_ik + a_kt,IP,382.2402749666383,13,0.0,-0.0005339391929666103,0.004426577200209354,-0.12062123144296631,0.9039910513700595
frac_policies,2. + capability x year,IPxDec,220.33123828331344,13,0.0,-0.03404126195786544,0.0058295221611321104,-5.8394600821372515,5.237026146076573e-09
frac_policies,2. + capability x year,IP,85.50077448156239,13,1.0066392164276294e-12,-0.008701095829700429,0.004650507647604777,-1.8709991444013405,0.06134519961051055
frac_policies,3. + a_it,IPxDec,59.17540619634134,13,7.373822208389669e-08,-0.013325065083389149,0.003982228164874035,-3.346133001851902,0.000819470785391907
frac_policies,3. + a_it,IP,73.24496905244662,13,2.0175794368526567e-10,-0.009013143617019478,0.004133445774630949,-2.180539943777104,0.029217461324724248
