level,n_clusters,se,t,p
unit (Xu default),1083,0.09010078677215716,2.542980482597679,0.01112948377217382
ISIC 4-digit sector,123,0.09826930636081212,2.3315982447970267,0.021361746052894315
ISIC 2-digit division,24,0.09624450626863912,2.380650606578571,0.025950559463647993
country,25,0.21900900297102466,1.0461877782193478,0.30589721527468283
