K,i,name,pre,post,ratio,p,gap_pre,gap_post,g_US,g_RoW,g_US_pre,g_RoW_pre,w_max,n_pos
10,12,Algeria,0.831152650210773,0.4850151497310217,0.583545212312114,0.9754098360655737,-0.014851656181353767,0.2687312675021678,1.9925194187894648,1.7237881512872968,2.0854142106444002,2.100265866825755,0.4653493409880562,4
10,32,Argentina,0.25681475646384505,0.19843080243734632,0.7726612176402793,0.9098360655737705,-0.010163902800014425,0.1550093144308323,1.6544302767927803,1.4994209623619479,1.8959164127041992,1.9060803157584536,0.34448784909314306,5
10,50,Bangladesh,0.14682179573267157,0.23202664716518065,1.5803283566129878,0.5,-0.01871318571459227,-0.20923990471321194,1.0679941513775244,1.2772340560907367,1.109494483076287,1.128207668790879,0.5131677106300527,4
10,68,Bolivia,0.28163238968964727,0.9823039141209265,3.487893971298557,0.10655737704918032,0.0029503278917419784,-0.8680531701702023,0.05751916871442399,0.9255723388846265,0.645709415672686,0.6427590877809439,0.5536741874569535,5
10,76,Brazil,0.10997495642181015,0.37087453086302463,3.372354424406692,0.12295081967213115,0.006848001889632942,0.3597340421931485,2.751255264083895,2.391521221890747,2.7224727080987523,2.715624706209119,0.46362950788288065,5
10,100,Bulgaria,0.11037072449229789,0.4172685652038453,3.7806090983208502,0.09836065573770492,-0.017583950481440225,0.3400023182090002,1.750346878469177,1.4103445602601765,0.8349095055848242,0.8524934560662646,0.40365096423416913,3
10,152,Chile,0.21083554255621653,0.5453235665770299,2.586487837702348,0.19672131147540983,0.009124429902173962,0.512054042355327,2.3080957219854343,1.7960416796301062,2.145435815515031,2.136311385612857,0.3397969173932378,6
10,170,Colombia,0.1970470375478103,0.27225403494413597,1.3816702769666247,0.5491803278688525,0.005169286458620606,0.15576865494071082,1.4874239553218396,1.3316553003811282,1.3549092790877204,1.3497399926291,0.5408119734096521,3
10,191,Croatia,0.14129740914098918,0.18739684513857557,1.3262581832026907,0.5737704918032787,-0.0203208115434901,-0.03740442455864861,0.6897481478460197,0.7271525724046678,0.620195368648083,0.6405161801915737,0.44790954270115346,6
10,218,Ecuador,0.14072920941895434,0.14557433365706193,1.0344287035940316,0.7868852459016393,0.0035526035232450208,-0.004163913542956167,0.7507044883406376,0.7548684018835937,0.5533823096393611,0.5498297061161161,0.28096017346013014,5
10,288,Ghana,0.7555411290456869,0.49126347750437355,0.6502140765319836,0.9672131147540983,-0.00659982291770499,-0.1334366332398618,0.8001874560375318,0.9336240892773934,0.6046543724181084,0.6112541953358134,0.5783501132078057,4
10,348,Hungary,0.2689704889675065,0.33693814312164466,1.2526955816418548,0.6475409836065574,-0.01842351937361557,0.058070398676052494,2.5559357217002607,2.497865323024208,2.4002112084963865,2.4186347278700016,0.27246509142026537,5
10,360,Indonesia,0.18972010888475527,0.1447085556635883,0.762747589141913,0.9098360655737705,-0.01034921213250763,-0.07641347587778625,2.592341153385472,2.668754629263258,2.5300788252746114,2.5404280376406234,0.4948119102009174,4
10,368,Iraq,0.8914764756683659,1.757153192641483,1.9710595182268764,0.3770491803278688,-0.12590403622482493,0.8574872240586691,0.940543056007801,0.08305583194913144,-1.0042481044976157,-0.8783440682727913,0.39892987902064303,4
10,404,Kenya,0.7206991394808009,0.6444262792590895,0.8941682374192105,0.8442622950819673,0.6141670691391365,0.6326614183349832,0.959151083051137,0.3264896647161541,1.0549514578700128,0.4407843887308761,0.5762847143497851,2
10,458,Malaysia,0.1522324700567244,0.14197434384413454,0.9326153861343279,0.8442622950819673,0.033186642182426174,-0.02979136421464352,3.049300649723342,3.079092013937985,3.0043590275628147,2.9711723853803877,0.4597931990513957,4
10,484,Mexico,1.8780057013710254,1.8484113591705877,0.9842416121639926,0.8360655737704918,1.8528272289623615,1.8411916790093739,3.9645202151304724,2.1233285190912,4.0946310346348165,2.241803805672456,0.5134722223929825,2
10,504,Morocco,0.3873638620437995,0.27940571437755873,0.721300414817648,0.9344262295081968,-0.1385893895200077,0.17266079545387575,1.0923451876276002,0.9196843921737248,0.5387661029098999,0.6773554930876601,0.5342992310340577,3
