Coefficient,Estimate,Std. Error,t value,Pr(>|t|),2.5%,97.5%
ES_2012,0.4734458595293101,0.17820738455518312,2.6567129118193438,0.00789066072074518,0.12416580402207167,0.8227259150365486
ES_2013,0.16691518310743061,0.3191150852270228,0.5230563857195434,0.6009350152605282,-0.4585388908609641,0.7923692570758253
ES_2014,0.1545683510859537,0.05834580366876932,2.649176827924804,0.008068810141930172,0.04021267724612086,0.26892402492578654
ES_2015,0.1829812672287618,0.35237485302846877,0.519280151963564,0.6035653922671305,-0.507660753764632,0.8736232882221555
ES_2016,0.01331396241195272,0.03574119383073048,0.37251028812880055,0.7095129534694586,-0.056737490260744206,0.08336541508464965
ES_2018,0.0746990601002048,0.0643240364158187,1.1612931069393315,0.24552272176262013,-0.05137373461504277,0.20077185481545237
ES_2019,0.35537765874164573,0.38714610932926363,0.9179419608719375,0.35864925212445353,-0.4034147722985174,1.1141700897818088
ES_2020,0.20608209513554893,0.11356492615481212,1.814663224934581,0.06957567980639023,-0.01650107003483367,0.42866526030593155
ES_2021,-0.04964887082325829,0.04002738592114753,-1.2403725519589195,0.2148376284836293,-0.12810110562399307,0.0288033639774765
ES_2022,0.6399663002372952,0.2587746210422017,2.4730643896216065,0.013396000462929436,0.13277736288157882,1.1471552375930116
ES_2023,0.17357292491124937,0.10520469867354516,1.6498590566743967,0.09897176653654838,-0.032624495493288,0.37977034531578674
ES_2024,0.01466480380389968,0.032883595203035805,0.4459610852570594,0.6556253561262273,-0.049785858476244595,0.07911546608404396
G_2012,-0.46854308466070665,0.17335185640725256,-2.7028443442795695,0.006874893284061656,-0.8083064798720807,-0.12877968944933255
G_2013,-0.15899685128360844,0.31846430890613564,-0.4992611317410494,0.6175954333073665,-0.7831754271010728,0.465181724533856
G_2014,-0.17014850367751633,0.05676860163983547,-2.997229080205497,0.002724458991218981,-0.2814129183442953,-0.05888408901073733
G_2015,-0.1554690095565632,0.3462516105108263,-0.4490058813797261,0.6534274139490206,-0.8341096957467733,0.5231716766336469
G_2016,-0.02112290205074391,0.015543465537776848,-1.358957048504196,0.17416019957635331,-0.051587534699726045,0.009341730598238222
G_2017,-0.024275611026396568,0.023793002734042713,-1.0202836227839098,0.30759396815347273,-0.07090903946918334,0.022357817416390195
G_2018,-0.06034586057812912,0.06311271001746653,-0.9561601864573447,0.33899131112501335,-0.18404449917908383,0.0633527780228256
G_2019,-0.3430647736201468,0.38485845540977115,-0.8914050576201443,0.3727119054091905,-1.0973734853690127,0.4112439381287191
G_2020,-0.21089977634290413,0.1111339974005165,-1.897707103820275,0.057734676259308726,-0.4287184087058845,0.0069188560200762195
G_2021,0.06931606566345846,0.032009364303006424,2.165493353985417,0.030349923810816692,0.006578864461543807,0.1320532668653731
G_2022,-0.6038155018364231,0.25839129398368077,-2.3368260305030177,0.01944823175285526,-1.1102531319631388,-0.09737787170970746
G_2023,-0.13353719572299272,0.10302578427217671,-1.2961531588074109,0.19492272365548047,-0.33546402237545225,0.06838963092946682
G_2024,0.006867245246688998,0.025045385177141614,0.27419203969586325,0.7839370451950554,-0.0422208076794419,0.05595529817281989
DDD_adv,0.0031729701157336213,0.012197956791159587,0.2601230820913562,0.7947688336844663,-0.02073458587991494,0.027080526111382182
IPxUS_adv,-0.00015932127899636982,0.008826148091352324,-0.018051054361128326,0.9855981245424921,-0.017458253660263864,0.017139611102271128
IPxUS_chn,-0.12046904595658603,0.04341671047481416,-2.7747161090536694,0.0055249912949326685,-0.2055642348144247,-0.03537385709874735
Dec_US_chn,-0.23271644123109886,0.08444768583632595,-2.755746814449636,0.005855830560187902,-0.39823086404805097,-0.06720201841414672
Adv_Dec_US,-0.035121671698612855,0.07048417813662729,-0.4982915687905537,0.6182785495898389,-0.17326812232630787,0.10302477892908216
