spec,event,n_tr,att,se_sector,p_sector,rand_mean,rand_sd,p_rand
"(a) headline set, event 2014",2014,1083,-0.2516281026152243,0.15957321485054668,0.11741226122199477,-0.16505573264431755,0.2261448589646491,0.3812375249500998
"(b) 3+ of 2009-13, event 2014",2014,1291,-0.15399119466125194,0.1324464467033728,0.2472336228394303,-0.17644925468907385,0.2110489053689971,0.590818363273453
"(c) headline set, event 2013",2013,1083,-0.2946180815107782,0.20335799708597044,0.14996843987516706,-0.21724790864240556,0.22648293370287237,0.40718562874251496
