K,tau,effn,maxw,rmse
20,-0.049881637,19.969820751734943,0.05326014299416839,0.2438128178447976
50,0.17374995,49.889040504986006,0.021648264332394754,0.13082082779554477
100,0.2367447,99.62255879518789,0.011339302724811057,0.09750537840561169
250,0.021993816,249.83161978247983,0.004443626718710932,0.03958023931911719
0,0.21052277,2468.2012610167294,0.0006332973850850854,0.01972836627233557
